to_consider,to_delete,Uber (x = filter out),|__question_id,|__file_name,|__question,|__answer,|__options__a,|__options__b,|__options__c,|__options__d,FINAL Difficulty,Image URL,Image Source
x,,,IQ033,question033,Who is this artist?,Salvador Dali,Andy Warhol,Jackson Pollock,Marcel Duchamp,Salvador Dali,Hard,https://drive.google.com/file/d/19NXtwSYCPYyR0Z8qssidnLfpT2T7kkxr/view?usp=sharing,Link
x,,,IQ034,question034,Who is this artist?,Frida Kahlo,Mary Cassatt,Rosa Bonheur,Frida Kahlo,Berthe Morisot,Hard,https://drive.google.com/open?id=199rs1hvihadUOlVU3z9MTfU2aF9TXCm9&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ035,question035,Who is this artist?,Andy Warhol,Claude Monet,Andy Warhol,Jackson Pollock,Jasper Johns,Hard,https://drive.google.com/open?id=195qYGl5CwSttNENkDunln9nVhJprxiOG&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ036,question036,Who is this artist?,Pablo Picasso,Michelangelo,Pablo Picasso,Vincent van Gogh,Raphael,Hard,https://drive.google.com/open?id=1924lurau0HlcrmW8TK30-ioac_isSBd6&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ037,question037,Who is this historical figure?,Rosa Parks,Harriet Tubman,Mother Teresa,Rosa Parks,Rosalind Franklin,Hard,https://drive.google.com/open?id=13hd4IFGf4C1YU62cnom5v16PAWWHQa-D&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ038,question038,Who is this historical figure?,Muhammad Ali,Malcolm X,Muhammad Ali,Nelson Mandela,John M Keynes,Medium,https://drive.google.com/open?id=13fHuZyr6P1WKLJkw3zSdmkWwZrWsHDlO&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ041,question041,Which U.S. President is this?,Barack Obama,George Washington,Barack Obama,Ronald Reagan,George W. Bush,Very Easy,https://drive.google.com/open?id=10TgKqpO05I5d2MBFrGhbY3pQDK37B8-B&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ042,question042,Which U.S. President is this?,Franklin D. Roosevelt,Richard Nixon,Franklin D. Roosevelt,Abraham Lincoln,John Quincy Adams,Hard,https://drive.google.com/open?id=10GepglCf74smHtWpDX5vSc9VIUQTMuJR&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ043,question043,Which U.S. President is this?,Harry S. Truman,Grover Cleveland,Harry S. Truman,Warren G. Harding,Herbert Hoover,Hard,https://drive.google.com/open?id=10G9uKjP3d_-p3LcN5vlD3yw7OT8-7OLb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ044,question044,Which U.S. President is this?,Benjamin Harrison,Gerald Ford,William Howard Taft,Benjamin Harrison,Chester A. Arthur,Hard,https://drive.google.com/file/d/15qkEGmpJSXLeTcjINfHJYEQWa-jIyLCO/view?usp=sharing,Link
x,,,IQ081,question081,What monument is this?,Washington Monument,Washington Monument,Lincoln Memorial,Jefferson Memorial,Peace Monument,Very Easy,https://drive.google.com/open?id=10klopYsvdmHduzUwQ5YQQ1KnqI47oQHw&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ082,question082,What monument is this?,Mount Rushmore,Stonewall National Monument,"Martin Luther King, Jr. Memorial",Mount Rushmore,Natural Bridges National Monument,Easy,https://drive.google.com/open?id=10gE6UeKam2txc7hAWm1S4vCOrJgDPrbL&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ084,question084,What monument is this?,Arc de Triomphe,Centre Pompidou,Les Invalides,Notre-Dame,Arc de Triomphe,Hard,https://drive.google.com/open?id=10_-3YwpCuV3M0YcW-ogEPv8oGdNqM6uc&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
