,title,content,category
0,"Mahindra Scorpio ने एक बार फिर बनाया रिकॉर्ड, मार्च में जमकर हुई खरीदारी","नई दिल्ली. Mahindra की सबसे पॉपुलर SUV Scorpio ने एक बार फिर नया रिकॉर्ड बना दिया है. दरअसल, पिछले महीने मार्च में महिंद्रा स्कॉर्पियो सबसे ज्यादा पॉजीटिव ग्रोथ दर्ज करने वाली इकलौती एसयूवी थी. इसने 160 फीसदी की ग्रोथ दर्ज की है. हालांकि, मार्च में tata nexon सबसे ज्यादा बिकने वाली एसयूवी रही थी. Mahindra Scorpio को अपने दमदार इंजन, शानदार फीचर्स और बेहतरीन परफॉर्मेंस के लिए देश भर में पसंद किया जाता है. भारत में इस 7 सीटर एसयूवी का मुकाबला yundai Creta, Skoda Kushaq, Kia Seltos, और Volkswagen Taigun जैसी एसयूवी से रहता है. 6 हजार से ज्यादा यूनिट्स बिकीं Scorpio की मार्च 2022 में कुल 6,061 यूनिट्स बिकी हैं. यानी यह पिछले साल मार्च में बिकी 2,331 यूनिट्स की तुलना में 160 प्रतिशत ज्यादा है. खबर है कि इस साल कंपनी स्कॉर्पियो का नया मॉडल भी लॉन्च करने जा रहा ही है. हालांकि, कंपनी की तरह से कोई आधिकारिक घोषणा नहीं की गई है. नए मॉडल को कई बार टेस्टिंग के दौरान देखा गया है. बेहद पावरफुल मिलता है इंजन महिंद्रा स्कॉर्पियो को पांच वेरिएंट्स S3+, S5, S7, S9, और S11 में बेचती है. इसकी कीमत 13.54 लाख रुपये (एक्स-शोरूम) से शुरू होती है और 18.62 लाख रुपये (एक्स-शोरूम) तक जाती है. स्कॉर्पियो में 2.2-लीटर डीजल इंजन मिलता है. इसमें 5-स्पीड मैन्युअल ट्रांसमिशन और 6-स्पीड मैनुअल का ऑप्शन भी मिलता है. इन फीचर्स के साथ आती है Scorpio स्कॉर्पियो के फीचर्स की बात करें तो इसमें क्रूज़ कंट्रोल, ऑटो एसी, ब्लूटूथ और औक्स कनेक्टिविटी के साथ 7-इंच टचस्क्रीन इंफोटेनमेंट सिस्टम और एलईडी डीआरएल के साथ ऑटो हेडलाइट्स जैसे फीचर्स मिलते हैं. महिंद्रा स्कॉर्पियो में सेफ्टी के लिहाज से डुअल फ्रंट एयरबैग, रियर पार्किंग सेंसर, एबीएस और स्पीड अलर्ट भी मिलता है. नई Scorpio में मिलेंगे शानदार फीचर्स नई 2022 Mahindra Scorpio में मिलने वाली फीचर्स को देखें तो इसमें सनरूफ के साथ साथ टच स्क्रिन इंफोटेंमेंट सिस्टम, मल्टी फंक्शन स्टीयरिंग व्हील, नया इंस्ट्रूमेंट कंसोल, इंजन स्टार्ट/स्टॉप बटन और डुअल टोन डैशबोर्ड जैसे फीचर्स देखने को मिल सकते हैं. हालांकि, कुछ जानकारों का कहना है की ये फीचर्स कंपनी एसयूवी के टॉप वैरिएंट्स में ही देगी. कंपनी ने इंटीरियर को और आकर्षक बनाने के लिए सिल्वर एक्सेंट वाले वर्टीकल AC वेंट्स लगाए हैं, जो कि डैशबोर्ड पर लगाए हैं.",automobile
1,"Skoda अपने इन 3 कारों पर कर रही है काम, Electric Car भी शामिल; जानें नाम और लॉन्चिंग डिटेल्स","नई दिल्ली, ऑटो डेस्क। कार निर्माण करने वाली कंपनी Skoda को साल 2022 से काफी उम्मीद है, यही वजह है कि कंपनी इस साल अपनी 3 कारें लॉन्च करने के लिए तैयारियों में जुटी है। कयास लगाया जा रहा है कि इन कारों को कंपनी इस साल के अंत तक लॉन्च कर सकती है। कंपनी का मानना है कि इस साल पिछले सालों की तुलना में बिक्री दर बढ़ेगा। अगर आप भी इस साल नई कार खरीदने का विचार कर रहे हैं स्कोडा की इन तीन अपकमिंग कारों के बारे में जरूर जान लें, इसमें एक इलेक्ट्रिक कार भी शामिल है। Skoda Electric Car स्कोडा अपने इलेक्ट्रिक कार पर काम कर रही है, जहां कंपनी भारतीय बाजार के लिए वर्तमान में एक एंट्री लेवल कार लांच करने की तैयारी में है। यह नए MEB इलेक्ट्रिक प्लेटफार्म पर आधारित एक इलेक्ट्रिक सिटी कार होगी जिसे पहले से ही Volkswagen ID लाइफ कांसेप्ट में इस्तेमाल किया जा चुका है। डिजाइन की बात करें तो लागत की संवेदनशीलता को ध्यान में रखते हुए इसे डिजाइन किया गया है और इसमें FWD (फ्रंट व्हील ड्राइव) दिया गया है। इसकी साल के मध्य में लांच होने की संभावना है। Skoda Compact SUV Skoda इंडिया ने हाल ही में भारत के लिए एक नई Sub-4 मीटर SUV की पुष्टि की है। इस नई Compact SUV को भारी लोकलाइज्ड MQB AO IN प्लेटफार्म पर डिजाइन किया जाएगा। नई Skoda Compact SUV का उत्पादन जनवरी 2025 तक शुरू होने की सूचना है। साथ ही मॉडल को चुनिंदा वैश्विक बाजारों में निर्यात किया जाएगा। ये Volkswagen Group की India 2.5 योजना के तहत विकसित होने वाला पहला प्रोडक्शन मॉडल होगा। Skoda Kushaq Monte Carlo अप्रैल 2022 के मध्य तक Skoda Kushaq का Monte Carlo एडिशन भारतीय शोरूम में नजर आने लगेगा। मॉडल को स्पोर्टी लुक देने के लिए कंपनी ने इसे लाल और काले रंग में डिजाइन किया है। ओल्ड जेनरेशन Octavia RS 245 की तरह, Skoda Kushaq Monte Carlo एडिशन में नए 17 इंच एलॉय व्हील 205/55 सेक्शन टायर्स के साथ लगाए गए हैं। ये 1.0 लीटर TSI और 1.5 लीटर TSI पेट्रोल इंजन के साथ ऑटोमैटिक गियरबॉक्स के साथ आएगी। इसमें लाल ग्राफिक्स के साथ नया डिजिटल इंस्ट्रूमेंट क्लस्टर और Monte Carlo बैजिंग के साथ डुअल टोन रेड ब्लैक अपहोलस्ट्री मिलेगा।",automobile
2,"EV बनाने वाली कंपनी के CEO ने कहा- बैटरी में आग के लिए चीन जिम्मेदार, इस साल डिमांड में तेजी आएगी","देश भर के अगल-अलग शहरों से इलेक्ट्रिक व्हीकल (EV) में आग लगने का हादसे हो रहे हैं। ये सभी मामले इलेक्ट्रिक टू-व्हीलर से जुड़े रहे हैं। ऐसे में अब सरकार भी एक्शन में आ चुकी है। सरकार ने साफ किया है कि किसी भी टू-व्हीलर में आग लगने पर उस कंपनी के खिलाफ एक्शन लिया जाएगा। इलेक्ट्रिक व्हीकल (Electric Vehicles) के क्वालिटी से जुड़ी गाइलाइन भी जारी की जाएगी। इस बीच, EV बनाने वाली कंपनी एथर एनर्जी (Ather Energy) के फाउंडर और CEO तरुण मेहता ने कहा है कि फाइनेंशियल ईयर FY23 EV टू-व्हीलर के लिए अच्छा रहेगा। इस साल बिकने वाले हर 5 टू-व्हीलर में से एक इलेक्ट्रिक टू-व्हीलर होगा। साथ ही, ओवरऑल टू-व्हीलर मार्केट में इसकी हिस्सेदारी 20% तक पहुंच जाएगी। सालभर में EV सेगमेंट का बाजार 30% तक होगा तरुण ने बताया कि Electric Vehicles की डिमांड तेजी से बढ़ रही है। अब इसमे बिक्री में तीन गुना तक तेजी आई है। छह महीने के अंदर ई-स्कूटर सेगमेंट में बाजार 3% से बढ़कर 12% तक चला गया है। उम्मीद है कि अगले 12 से 18 महीने में बाजार 25 से 30% तक पहुंच जाएगा। उन्होंने कहा कि EV बाजार ने भारत में पिछले नौ सालों में लंबा सफर तय किया है। खरीदार पहले जहां EV खरीदने को लेकर झिझकने थे, लेकिन अब इसके लिए कतार में खड़े हैं। हमने 2013 में एथर एनर्जी को शुरू किया था। तब से अब तक लोगों के ये समझाने में बहुत टाइम लगा कि इलेक्ट्रिक कोई खिलौना नहीं है। छोटे शहरों में ईवी की डिमांड ज्यादा तरुण ने बताया कि इलेक्ट्रिक व्हीकल की डिमांड 2 टियर और 3 टियर शहरों में ज्यादा आई है। इसकी बड़ी वजह है कि वहां पर लोगों के स्वतंत्र घर होते हैं। उन्हें गाड़ी की चार्जिंग को लेकर किसी तरह की परेशानी नहीं होती। वे घर बाहर तक चार्जिंग यूनिट को आसान से सेटअप कर पाते हैं। जबकि महानगरों में इसे लेकर काफी चेलैंज होता है। खासकर फ्लैट में रखने वालों के लिए चार्जिंग यूनिट सेटअप करना आसान नहीं होता। हालांकि, अब महानगरों में चार्जिंग इन्फ्रास्ट्रक्चर बेहतर हो रही है। ऐसे में इस साल यहां भी इसकी डिमांड बढ़ने की उम्मीद है। बैटरी में आग के लिए चीन जिम्मेदार टू-व्हीलर की बैटरी में आग लगने वाली घटनाओं पर तरुण ने कहा कि ईवी में आग लगने के मामले अच्छा संकेत नहीं है। हालांकि, इसके लिए उन्होंने लिथियम ऑयन बैटरी पर होने वाले एक्सपेरिमेंट को जिम्मेदार ठहराया है। उन्होंने बताया कि भारत में बैटरी चीन, कोरिया और ताइवन से आ रही हैं, लेकिन इन बैटरी को बेहतर तरीके से डिजाइन नहीं किया गया है। बैटरी में आग लगने की बड़ी वजह उसकी क्वालिटी है। ऐसे में चीन के साथ दूसरे देश इसके लिए ज्यादा जिम्मेदार हैं। पहले ई-स्कूटर लेड-एसिड बैटरी से चलते थे, तब उनमें किसी तरह की प्रॉब्लम नहीं आती थी। EV टू-व्हीलर सेगमेंट में हीरो सबसे आगे 2021 में EV टू-व्हीलर सेगमेंट हीरो इलेक्ट्रिक का दबदबा रहा। कंपनी ने इस पूरी साल में 46260 यूनिट बेची और उसका मार्केट शेयर 30% रहा। इसके बाद ओकिनावा 29945 यूनिट की बिक्री और 20% मार्केट शेयर के साथ दूसरे नंबर पर रही है। तीसरे नबंर पर एथर रही। उसने 15921 यूनिट की बिक्री की। वहीं मार्केट शेयर 11% रहा। एम्पेयर व्हीकल 12470 यूनिट की बिक्री और 8% मार्केट शेयर के साथ नंबर चार पर रही। वहीं, प्योर ईवी 11039 यूनिट की बिक्री और 7% बाजार हिस्सेदारी के साथ पांचवें स्थान पर रही। अन्य कंपनी के पास 24% मार्केट शेयर रहा। For Hindustan : हिन्दुस्तान ई-समाचार पत्र के लिए क्लिक करें epaper.livehindustan.com",automobile
3,"ये हैं बेस्ट माइलेज वाली झकास बाइक्स, इतनी कीमत पर मिल रही हैं","Best Mileage Bikes In India: बाइक लेनी हो या गाड़ी हर किसी को चाहिए कि बेस्ट माइलेज वाली गाड़ी पर ही पैसा इनवेस्ट हो. कई बार बाइक पर अच्छा पैसा इन्वेस्ट करने के बाद भी अच्छी माइलेज नहीं मिल पाती. बाइक की माइलेज अच्छी ना हो तो इस पर ईंधन का खर्च भी बढ़ जाता है. ऊपर से पहले ही पेट्रोल- डीजल सीएनजी की कीमतें लगातार बढ़ रही हैं. आपको अब इन सब बातों से परेशान नहीं होना होगा, इस रिपोर्ट में आपको बेस्ट माइलेज वाली शानदार बाइक्स के बारे में बताएंगे. TVS Star City Plus टीवीएस (TVS Motor Company) की स्टार सिटी प्लस बाइक (TVS Star City Plus) अपनी दमदार माइलेज के साथ एक अलग पहचान बनाती है. दिल्ली में बाइक की एक्सशो रूम कीमत मात्र 70,205 - 72,955 रुपये के बीच है. ये (TVS Star City Plus) मॉडल दो वैरिएंट में उपलब्ध है. बाइक को ग्राहक रंगो में खरीद सकते हैं. माइलेज की बात करें तो बाइक 1 लीटर तेल में 86 किलोमीटर की दूरी तय करती है. : Sports Bike लेनी है पर बजट नहीं, ये हैं ना बजट फ्रेंडली जबरदस्त बाइकें TVS Sport टीवीएस (TVS Motor Company) का दूसरा मॉडल भी बेस्ट माइलेज की लिस्ट में शामिल है. दिल्ली में एक्स शोरूम की कीमत 59,130- 65,325 रुपये के बीच शुरू हो जाती है. कंपनी दावा करती है कि 1 लीटर तेल की खपत में मॉडल (TVS Sport)75 km की दूरी तय कर पाने की क्षमता रखती है. Hero Splendor Plus बाजार में टीवीएस (TVS Motor Company) के स्टार सिटी प्लस मॉडल का मुकाबला हीरो (Hero MotoCorp) के मॉडल Hero Splendor Plus से है. Hero Splendor Plus की एक्स शो रूम कीमत 69,380- 70,700 रुपये के बीच है. दो वैरिएंट में आने वाली इस बाइक (Hero Splendor Plus) की माइलेज 65 to 81 km प्रति लीटर के हिसाब से मिलती है. HIGHLIGHTS",automobile
4,"Hyundai से हुई बड़ी चूक! Creta ग्राहक को देने पड़ेंगे 3 लाख रुपये, जानें क्या है वजह","एक कार को बेचने से पहले कंपनी भले ही ढेरों सेफ्टी पैरामीटर्स का ध्यान रखती हो, लेकिन कई बार वाहन में मैकेनिकल, इलेक्ट्रिकल या इलेक्ट्रॉनिक सिस्टम में कोई न कोई खराबी आ जाती है। ऐसा ही कुछ पॉपुलर एसयूवी कार हुंडई क्रेट खरीदने वाले एक ग्राहक के साथ हुआ। शैलेंद्र भटनागर नाम के ग्राहक ने यह क्रेटा खरीदी थी, जिसका एक्सटेंड के दौरान एयरबैग ही नहीं खुला। इस मामले में अब कंपनी से 3 लाख रुपये जुर्माना और नई गाड़ी देने का फैसला आया है। barandbench नाम की वेबसाइट के मुताबिक, मामला 16 नवंबर 2017 का है। शैलेंद्र अपनी Creta 1.6 VTVT SX+ दिल्ली-पानीपत हाईवे पर जा रहे थे जब उनकी कार का एक्सीडेंट हो गया। कार अगस्त 2015 में खरीदी थी, और इसके फ्रंट में दो एयरबैग थे। एक्सिडेंट से गाड़ी का दाहिना रूफ, फ्रंट पिलर, डोर पैनल्स, बॉडी पैनल्स और फ्रंट व्हील सस्पेंशन क्षतिग्रस्त हो गए थे। एयरबैग नहीं खुलने से चालक के सिर और छाती में चोटें आईं। इसके साथ दांतों में भी चोट लगी। शैलेंद्र के अनुसार, चोट का सीधा संबंध एयरबैग के न खुलने से था। : Mahindra की दबंग SUV पर टूट पड़े ग्राहक, बिक्री में 160% की ग्रोथ, लुक-फीचर्स सब धांसू चूंकि यह एक बड़ी चूक थी, क्रेटा के मालिक ने दिल्ली राज्य उपभोक्ता निवारण आयोग (Delhi State Consumer Redressal Commission) में मामला दर्ज कराया। राज्य आयोग ने मालिक के पक्ष में फैसला सुनाया और हुंडई को मुआवजे के रूप में 3 लाख रुपये का भुगतान करने का आदेश दिया। इसमें 2 लाख रुपये चिकित्सा खर्च और आय के नुकसान के लिए, 50 हजार रुपये मुकदमेबाजी की लागत के लिए और 50 हजार रुपये मानसिक पीड़ा के लिए शामिल थे। : Alto और S-Presso खरीदने वालों को झटका! बंद हो गए इनके सस्ते वेरिएंट, देखें नई लिस्ट इस फैसले को बाद में राष्ट्रीय उपभोक्ता विवाद निवारण आयोग (NCDRC) में चुनौती दी गई थी। लेकिन फिर से फैसला कार मालिक के पक्ष में सुनाया गया। NCDRC ने कंपनी को आदेश दिया है कि ग्राहक को एक नई क्रेटा उपलब्ध कराई जाए। इसके बाद इस फैसले को सुप्रीम कोर्ट में चुनौती दी गई थी। और अब एक बार फिर क्रेटा के मालिक के पक्ष में फैसला आया है। For Hindustan : हिन्दुस्तान ई-समाचार पत्र के लिए क्लिक करें epaper.livehindustan.com",automobile
5,"Sports Bike लेनी है पर बजट नहीं, ये हैं ना बजट फ्रेंडली जबरदस्त बाइकें","Low Budget Sports Bikes: कई बाइक राइडर्स को स्पोर्ट्स बाइक का क्रेज होता है. ऐसे राइडर्स बाइक तो खरीदना चाहते हैं लेकिन बजट की वजह से प्लान से हाथ पीछे खींच लेते हैं. अगर आप भी बाइक राइडर हैं तो कम बजट की वजह से अच्छी स्पोर्ट्स बाइक नहीं खरीद पा रहे हैं तो अब निराश नहीं होगा. इस रिपोर्ट में आपको कुछ जबरदस्त स्पोर्ट्स बाइक्स के बारे में बताने जा रहे हैं. जिन्हें आप अपने कम बजट में भी खरीद सकते हैं. आइए इन शानदार स्पोर्ट्स बाइक्स के बारे में जानते हैं. TVS Raider भारतीय मोटर वाहन कंपनी TVS Motor Company की बाजार में धाक जमती है. कंपनी की TVS Raider एक जबरदस्त स्पोर्ट्स बाइक है, जिसे हर भारतीय खूब पसंद करता है. खास बात ये है कि टीवीएस की ये बाइक लो बजट बाइक है. दिल्ली में बाइक खरीदते हैं तो इसकी कीमत 84,573 रुपये से शुरू हो जाती है. टीवीएस का ये मॉडल दो वैरिएंट में आता है. साथ ही राइडर्स को इसे चार रंगों में खरीदना का मौका भी मिलता है, जिसमें Wicked Black, Striking Red, Blazing Blue, Fiery Yellow के विकल्प मिलत हैं. पेट्रोल के खर्चे का झंझट होगा खत्म, इथेनॉल करेगा खर्चा कम, अब Honda ने लिया जिम्मा Bajaj Pulsar NS125 भारतीय मोटर वाहन कंपनी Bajaj Auto पुने बेस्ड कंपनी है. बजाज ऑटो का Bajaj Pulsar NS125 मॉडल जबरदस्त स्पोर्ट्स बाइक है. दिल्ली में बाइक की एक्स शॉरूम कीमत 1,18,872 रुपये है, हालांकि बाइक की कीमत 1 लाख रुपये से ज्यादा है लेकिन इसे भी भारतीय ग्राहक खूब पसंद करते हैं. Bajaj Pulsar 150NS भारतीय मोटर वाहन कंपनी Bajaj Auto का ही दूसरा मॉडल भी जल्द भारत में जबरदस्त एंट्री करने जा रहा है. इस साल के अंत तक कंपनी मॉडल को लॉन्च कर सकती है. जानकारों का मानना है कि Bajaj Pulsar 150NS की कीमत 60,000 - 75,000 रुपये के बीच हो सकती है. HIGHLIGHTS",automobile
6,"हैचबैक की कीमत में खरीदिए ये पांच सबसे सस्ती SUV कार, 5.84 लाख से शुरू कीमत","देश में एसयूवी (SUV) का मार्केट तेजी से बढ़ रहा है. ग्राहकों में हैरियर (Tata Harrier), क्रेटा, सफारी, हेक्टर जैसी गाड़ियों की मांग जबरदस्त है. इस मार्केट को देखते हुए कार कंपनियों ने कॉम्पैक्ट एसयूवी और मिड साइज एसयूवी सेगमेंट में भी कई मॉडल्स लॉन्च कर दिए हैं. कम बजट वाली इन एसयूवी कारों की मांग भी काफी ज्यादा है. आप भी अगर कम बजट में एसयूवी कार (Cheapest SUV Cars)की खोज कर रहे हैं तो हम आपको बताते हैं वो पांच ऑप्शन्स जो आपकी तलाश पूरी कर देंगे. जानिए देश की सबसे सस्ती पांच एसयूवी कारों के बारे में.",automobile
7,"खराब एयरबैग के लिए जिम्मेदार होंगी कार कंपनियां, होगी दंडात्मक कार्रवाई: सुप्रीम कोर्ट",अगर एक्सीडेंट के दौरान कार के एयरबैग काम न करें तो अब कार कंपनी को जुर्माना भरना पड़ सकता है। एक दुर्घटना के मामले पर सुनवाई करते हुए सुप्रीम कोर्ट की एक बेंच ने कहा कि दुर्घटना के समय एयरबैग का न खुलना बेहद खतरनाक हो सकता है।,automobile
8,घर के सामने खड़ी ईको कार चोरी,"बिल्सी। रात चोरों ने घर के सामने खड़ी ईको कार चोरी हो गयी। यह 22 दिन में कार चोरी की दूसरा घटना है। नगर के मोहल्ला संख्या छह निवासी कार चालक अरुण कुमार ने बताया कि वह नगर के ही हरीश कश्यप की ईको कार को चलाता है।  गुरुवार की रात उसने कार को अपने घर के बाहर खड़ा किया था। शुक्रवार की सुबह वहां से कार गायब थी। उसने कार को इलाके में तलाश किया, लेकिन कोई सुराग नहीं लगा। उसने कार मालिक को घटना जानकारी दी। कार मालिक ने घटना की तहरीर पुलिस को दी है। इधर, पांच अप्रैल को गांव अंबियापुर निवासी आरिफ सैफी पुत्र इसरार अहमद की भी कार घर के सामने से चोरी हो गयी थी। इस कार का भी अब तक कोई सुराग नहीं लगा है। For Hindustan : हिन्दुस्तान ई-समाचार पत्र के लिए क्लिक करें epaper.livehindustan.com",automobile
9,"Hyundai Venue आने वाली है CNG वर्जन में, Kia India की भी दो कारें हैं लिस्ट में शामिल","जहां एक ओर पेट्रोल और डीजल के दामों में बढ़ोत्तरी हो रही है, वहीं दूसरी ओर कार निर्माता कंपनियां वैकल्पिक ईंधनों के साथ अपनी कारों को अपडेट कर रही हैं। इसी के चलते Hyundai Motors India और Kia India भी भारतीय बाजार में कई नई CNG कारों को पेश करने की योजना बना रही हैं।",automobile
