,title,content,category
0,"रॉयल लाइफ़ जीते हैं आयुष्मान ख़ुराना, करोड़ों से कम नहीं है इनके Luxury Items की कीमत","(Ayushman Khurana Luxury Items) : ""संघर्ष जितना लंबा होगा, सफलता उतनी ही शानदार होगी।"" आयुष्मान की आलीशान ज़िंदगी पर ये लाइन फिट बैठती है. एक्टर आयुष्मान ख़ुराना बी-टाउन के सबसे वर्सटाइल एक्टर माने जाते हैं. जिन्हें एक्टिंग के साथ-साथ अच्छा गाना और डांस करना भी आता है. जब आयुष्मान रोडीज़ में आये थे, तब कोई भी उन्हें नहीं जानता था. लेकिन, आज आयुष्मान अपनी ब्लॉकबस्टर फ़िल्मों के लिए फ़ेमस हैं. हाल ही में आयुष्मान की नयी फ़िल्म ""अनेक"" का ट्रेलर रिलीज़ हुआ है, जिसमें वो एक अंडरकवर कॉप का रोल निभा रहे हैं. अब ज़ाहिर सी बात है कि इतने बड़े एक्टर हैं, तो उनकी लाइफ़स्टाइल भी काफ़ी लग्ज़री होगी. तो चलिए आयुष्मान ख़ुराना के कुछ Luxury Collections से रू-ब-रू कराएंगे. जिनकी क़ीमत करोड़ों में हैं. करोड़ों की Luxury Cars में घूमती हैं जाह्नवी कपूर, एक कार में है मसाज करने की सुविधा नज़र डालते हैं आयुष्मान खुराना Luxury Collections पर- (Ayushman Khurana Luxury Items) मुंबई में हैं करोड़ों का घर (Ayushman Khurana's House) आयुष्मान खुराना और उनके छोटे भाई अपारशक्ति ख़ुराना ने मुंबई के लोखंडवाला कॉम्प्लेक्स में दो घर ख़रीदे हैं. जिनकी क़ीमत और तस्वीरें दोनों देख के आपके होश उड़ जायेंगे. आयुष्मान के घरों की क़ीमत 19 करोड़ और 7 करोड़ रुपए है. इस पूरे घर में 4 कार पार्किंग है और 7 बेडरूम थे. हिंदुस्तान टाइम्स की रिपोर्ट के मुताबिक़, इस घर की स्टैम्प ड्यूटी 96.50 लाख़ थी. अनिल कपूर के पास हैं ये 8 Luxury Cars, क़ीमत जानकर आप भी बोलेंगे 'झकास' आयुष्मान की गाड़ियों का कलेक्शन भी है ज़बरदस्त (Ayushman Khurana's Car Collection) आयुष्मान के पास कुल 5 गाड़ियां हैं. जिनकी क़ीमत करोड़ों में है. 1- Mercedes-Maybach GLS. जिसकी क़ीमत 2.42 करोड़ है. इस कार में 4.0 लीटर ट्विन-टर्बोचार्ज्ड V8 इंजन है. जो 350 बीएचपी की पावर और 730 एनएम का पीक टॉर्क देता है. 2- Mercedes Benz S Class. जिसकी क़ीमत 1.38 करोड़ है. यह गाड़ी 250 kmph की रफ़्तार से दौड़ती है. 3- BMW 3-Series. जिसकी क़ीमत 46.84 लाख है. इस कार में 2.0 लीटर ट्र्बोचार्ज्ड 4 सिलिंडर इंजन है. जो 187 एचपी की पावर और 350 एनएम का पीक टॉर्क देता है. 4- Audi A4.जिसकी क़ीमत 41.50 लाख है. 5- Nissan Datsun Go. जिसकी क़ीमत 4.03 लाख है.",entertainment
1,"Jhund OTT Release: अमिताभ की फिल्म 'झुंड' को सुप्रीम कोर्ट की हरी झंडी, 6 मई को होगी ओटीटी पर रिलीज","Jhund OTT Release: अमिताभ बच्चन की फिल्म 'झुंड' की ओटीटी रिलीज को हरी झंडी मिल गई है। सुप्रीम कोर्ट ने फिल्म की डिजिटल रिलीज को लेकर आदेश जारी कर दिया है। सिनेमाघरों मे रिलीज के बाद अब ये फिल्म डिजिटल प्लेटफॉर्म पर रिलीज होगी। 4 मार्च 2022 को यह फिल्म सिनेमाघरों में रिलीज हुई थी। बिग बी की मोस्ट अवेटेड ये फिल्म बॉक्स ऑफिस पर फ्लॉप साबित हुई। लोग काफी लंबे वक्त से फिल्म का ओटीटी पर रिलीज होने का इंतजार कर रहे थे। यह फिल्म ओटीटी प्लेटफॉर्म ZEE5 पर 6 मई रिलीज होगी। दरअसल, झुंड के मेकर्स पर कॉपीराइट के आरोप लगे थे। जिसके बाद तेलंगाना हाईकोर्ट ने फिल्म की रिलीज पर रोक लगा दी थी और सुनवाई के लिए 9 जून की अगली तारीख निर्धारित की थी। सुप्रीम कोर्ट ने दी हरी झंडी मामला यह है कि 'झुंड' के मेकर्स पर कॉपीराइट के उल्लंघन के आरोप लगे थे, जिसके बाद तेलंगाना हाई कोर्ट ने फिल्म की ओटीटी रिलीज पर रोक लगा दी थी। इसके बाद फिल्म के मेकर्स ने हाई कोर्ट के आदेश के खिलाफ सुप्रीम कोर्ट में अर्जी दाखिल की थी। इस पर सुनवाई करते हुए सुप्रीम कोर्ट ने हाई कोर्ट के आदेश पर रोक लगा दिया और फिल्म की ओटीटी रिलीज के लिए आदेश जारी कर दिया है। अब ये फिल्म 6 मई को ओटीटी प्लेटफॉर्म जी5 पर स्ट्रीम होगी। मालूम हो कि झुंड मार्च में सिनेमाघरों में रिलीज हुई थी, जिसे दर्शकों और क्रिटिक्स से बहुत अच्छे रिव्यूज मिले हैं। ये फिल्म गैरसरकारी संगठन 'स्लम सॉकर' के संस्थापक विजय बरसे के जीवन पर आधारित है। विजय बरसे के जीवन पर आधारित फिल्म विजय बरसे ने झुग्गी-झोपड़ी में रहने वाले बच्चों को फुटबॉल टीम बनाने के लिए प्रेरित किया था। जिनका किरदार फिल्म में अमिताभ बच्चन ने निभाया है। इस फिल्म का निर्देशन राष्ट्रीय पुरस्कार से सम्मानित डायरेक्टर नागराज पोपटराव मंजुले ने किया है। इस मूवी में अमिताभ बच्चन के अलावा आकाश ठोसर, विक्की कादियान, रिंकू राजगुरू, गणेश देशमुख और किशोर कदम जैसे सितारों ने काम किया है।",entertainment
2,दोस्ताना 2 बंद होने के बाद करण जौहर के साथ हुई अनबन पर फ़ाइनली कार्तिक आर्यन ने चुप्पी तोड़ी,"बीते साल कार्तिक आर्यन और करण जौहर दोस्ताना 2 को लेकर लगातार सुर्खियों में बने रहे । फ़िल्म का कुछ हिस्सा शूट होने के बाद जहां कार्तिक आर्यन ने दोस्ताना 2 को बीच में ही छोड़ दिया वहीं करण जौहर ने ऑफ़िशियल अनाउंसमेंट कर दोस्ताना 2 की कास्टिंग को फ़िर से नए सिरे से करने का फ़ैसला किया। इसके बाद कार्तिक आर्यन और करण जौहर के बीच अनबन की खबरें सामने आने लगी । हालांकि इन खबरों पर न तो कार्तिक ने और न ही करण ने अपना रिएक्शन दिया । लेकिन अब कार्तिक ने फ़ाइनली इस मुद्दे पर अपनी चु्प्पी तोड़ी है । कार्तिक आर्यन ने दोस्ताना 2 पर चुप्पी तोड़ी हाल ही में इंडियन एक्सप्रेस को दिए इंटरव्यू में कार्तिक ने इस मामले को लेकर पहली बार चुप्पी तोड़ी है । जब उनसे पूछा गया कि क्या इंडस्ट्री के लोगों के साथ उनके मतभेद हैं, जिस वजह से उनके काम पर असर पड़ रहा है, क्योंकि वो फिल्मी बैकग्राउंड से नहीं आते हैं । इस पर कार्तिक ने कहा, ""मैं सिर्फ अपने काम पर फोकस करता हूं । इस पर मैं बस इतना ही कहना चाहूंगा । मेरे लाइनअप को देखिए (अभी मेरी फिल्मों को देखिए) ।"" इसके अलावा कार्तिक ने उन अफ़वाहों के बारें में भी बात की जिसमें कहा जा रहा था कि इंडस्ट्री के अंदर कुछ लोग उनके खिलाफ लॉबी बना रहे हैं । इस बारें में कार्तिन ने कहा, ""क्या होता है, कभी-कभी लोग 'बात का बतंगड़' बनाते हैं । इससे ज्यादा कुछ नहीं है । किसी के पास इतना समय नहीं है। हर कोई सिर्फ काम करना चाहता है और अच्छा काम करना चाहता है। इसके अलावा चीजें सिर्फ अफवाहें हैं ।"" दोस्ताना 2 हुई बंद बता दें कि बीते साल करण ने ऑफ़िशियल अनाउंसमेंट कर कहा था कि ""प्रोफेशनल परिस्थितियों के कारण, जिस पर हमने एक सम्मानजनक चुप्पी बनाए रखने का फैसला किया है, हम Collin D'Cunha द्वारा डायरेक्टेड 'दोस्ताना 2' के लिए फिर से कास्टिंग करेंगे । ऑफिशियल अनाउंसमेंट का इंतजार करें ।"" भूल भूलैया 2 की बात करें तो, अनीस बज्मी के निर्देशन में बनी इस फ़िल्म का निर्माण भूषण कुमार की टी-सीरीज के बैनर तले किया गया है । ये फिल्म साल 2007 में आई फिल्म अक्षय कुमार विद्या बालन, परेश रावल और राजपाल यादव द्वारा अभिनीत फिल्म भूल भूलैया का सीक्वल है, जिसको प्रियदर्शनी ने निर्देशित किया था । हालांकि बताया जा रहा है कि, भूल भुलैया 2 की कहानी भूल भूलैया से काफ़ी अलग है । रिलीज के लिए कई बार पोस्टपोन हो चुकी भूल भूलैया 2 फ़ाइनली, 20 मई को सिनेमाघरों में रिलीज हो रही है ।",entertainment
3,"क्या विपक्ष के पास नहीं है योगी के बुलडोजर की काट, जानिए कैसे BJP के भीतर ही चल रही देखादेखी की राजनीति","लखनऊ, 5 मई: उत्तर प्रदेश के मुख्यमंत्री योगी आदित्यनाथ ने बुलडोजर को एक तरह से सुशासन का प्रतीक बना दिया है। हालांकि यूपी चुनाव के दौरान भी कई मौके ऐसे आए जब बुलडोजर की कार्रवाई की गई। इससे जनता के बीच एक संदेश गया कि सरकार चाहे तो अपराधियों पर नकेल कस सकती है। यूपी में जैसे ही बुलडोजर ने एक पहचान बनायी उसके बाद यह फार्मूला एमपी, गुजरात, राजस्थान के बाद दिल्ली में यूपी का फॉर्मूला अपनाया गया। राजनीतिक पंडितों का यह कहना है कि योगी के बुलडोजर की काट अभी भी विपक्ष नहीं ढूंढ पाया है। हालांकि सपा के मुखिया अखिलेश यादव ने ललितपुर की घटना को लेकर तंज कसते हुए कहा है कि थाने पर बाबा का बुलडोजर कब चलेगा। यह भी पढ़ें-ललितपुर में फिर लगा वर्दी पर दाग, महिला को थाने में बंद कर दी थर्ड डिग्री, आरोपी पुलिसकर्मी सस्पेंड योगी का बुलडोजर पांच साल तक चला, लेकिन यूपी चुनाव के दौरान यह और अधिक उजागर हो गया। खासकर जब विपक्ष ने इस कार्रवाई पर सवाल उठाना शुरू किया तो भाजपा ने इसे सकारात्मक तरीके से उछालना शुरू कर दिया। योगी की रैलियों में बुलडोजर खड़े होने लगे। एक वीडियो में वो खुद मुस्कुराते और कहते सुनाई दे रहे थे, 'देखो वो बुलडोजर भी मेरी सभा में खड़ा है.' 'बुलडोजर बाबा' की छवि ने जल्द ही कानून-व्यवस्था को लेकर यूपी सरकार की पहचान बदल दी। UP चुनाव में बड़ा मुद्दा बना बुल्डोजर यूपी चुनाव में कानून-व्यवस्था एक बड़ा मुद्दा था। चुनाव में सपा शासन के दौरान अपराध और अपराधियों की बात करें तो बीजेपी ने जनता का वोट मांगा तो दूसरी तरफ मुख्तार अंसारी, अतीक अहमद, विजय मिश्रा जैसे तमाम माफियाओं की संपत्तियों पर बुलडोजर चलाए गए। 10 मार्च को जब नतीजे आए तो लोगों ने बीजेपी की बुलडोजर नीति का समर्थन करते हुए एक बार फिर योगी सरकार बना ली। बाद में उत्सव के समय बुलडोजर को सजाया और खड़ा किया गया। लोगों ने योगी को बुलडोजर खिलौने भी भेंट किए। दोबारा सीएम पद की शपथ लेने के बाद भी यूपी में बुलडोजर गरज रहा है। बीजेपी शासित राज्यों में भी हुई बुलडोजर की नकल उत्तर प्रदेश में पिछले पांच सालों के दौरान योगी सरकार ने जिस तरह से बुलडोजर का इस्तेमाल किया उसकी देखादेखी अन्य राज्यों ने भी कॉपी की और अपने यहां भी बुलडोजर का इस्तेमाल किया। मध्य प्रदेश हो चाहे गुजरात हो हर जगह बुलडोजर का इस्तेमाल किया गया। राजनीतिक विश्लेषक कुमार पंकज की माने तो अन्य जगहों पर भी योगी सरकार की नकल की गई। इससे जनता के मन में एक विश्वास पैदा करने की कोशिश की गई। ये सही है कि योगी सरकार ने बुलडोजर को एक तरह से सुशासन का प्रतीक बना दिया था जिसकी वजह से उसे दूसरे राज्यों में भी कॉपी करने की कोशिश की गई। source: oneindia.com",entertainment
4,Anek trailer released : आयुष्मान खुराना की फिल्‍म अनेक का धांसू ट्रेलर हुआ रिलीज,"मुंबई (एएनआई)। आयुष्मान खुराना की फिल्‍म अनेक ट्रेलर गुरुवार को रिलीज कर दिया है। ट्रेलर के एक हिस्से में आयुष्मान एक ऐसे व्यक्ति के साथ बातचीत करते हुए दिखाई दे रहे हैं जो तेलंगाना से ताल्लुक रखता है। जिसमें आयुष्मान उस आदमी से पूछते हैं कि वह उसे उत्तर भारतीय क्यों समझता है। जब वह आदमी कहता है कि यह शायद इसलिए है क्योंकि उसकी हिंदी साफ है। तो आयुष्मान जवाब देते हैं, तो हिंदी तय करती है कि उत्तर और दक्षिण से कौन है?"" जब आदमी ना कहता है, तो आयुष्मान कहते हैं, ""तो, यह हिंदी के बारे में भी नहीं है। पर्टिकुलर सीनस ने बहुत सारे नेटिज़न्स को प्रभावित किया है। 27 मई को होगी फिल्‍म रिलीज फिल्‍म अनेक को अनुभव सिन्‍हा ने डायरेक्ट किया है। फिल्‍म मुख्य रूप से उत्तर पूर्व भारत के लोगों को होने वाली हिंसा और अन्याय के इर्द-गिर्द घूमती है। आयुष्मान ने एक अंडरकवर पुलिस वाले का किरदार निभाया है, जो एक शांतिपूर्ण समझौते के लिए क्षेत्र में दो विपरीत पक्षों की मदद करने के मिशन पर जाता है। अनेक के बारे में अधिक बोलते हुए, आयुष्मान ने कहा, अनेक वास्तव में एक भारतीय होने की भावना का जश्न मनाता है। अनुभव सर इस फिल्म के साथ अपनी भावुक कहानी को आगे बढ़ा रहे हैं और एक बेंचमार्क स्थापित कर रहे हैं। मेरे चरित्र जोशुआ ने मुझे उन चीजों को करने के लिए मजबूर किया जो मैंने पहले कभी नहीं किया था। सही मार्गदर्शन और प्रशिक्षण के साथ, मैंने इस भूमिका को फिल्म के लिए अनुभव की गई हर चीज को जीवंत करने के लिए अपना सर्वश्रेष्ठ शॉट दिया है। यह फिल्‍म 27 मई रिलीज होने वाली है।",entertainment
5,"Sonali Raut Video: देर रात मुंबई में स्पॉट हुईं ये हसीना, कैमरे को देखते ही ठीक करने लगीं कपड़े","Sonali Raut कैलेंडर गर्ल के नाम से मशहूर एक्ट्रेस सोनाली राउत (Sonali Raut) अपनी हॉट फोटोज से इंटरनेट का तापमान हाई कर देती हैं. अब उनका एक वीडियो सामने आया है, जो खूब सुर्खियां बटोर रहा है. सोनाली ने पैपराजी के सामने कुछ ऐसा किया है, जिससे उनका ये वीडियो सोशल मीडिया पर जमकर वायरल हो रहा है. वनपीस ड्रेस लगीं बेहद हॉट दरअसल, सोनाली राउत (Sonali Raut) 'बिग बॉस' के एक्स कंटेस्टेंट राहुल महाजन (Rahul Mahajan) की पत्नी नताल्या इलीना की बर्थडे पार्टी में शरीक होने के लिए पहुंचीं. इस दौरान पैपराजी ने उन्हें स्पॉट कर लिया. वीडियो में देखा जा सकता है कि सोनाली ब्लैक कलर की वनपीस ड्रेस में बेहद हॉट लग रही हैं. उनकी इस ड्रेस की नेकलाइन बहुत डीप है. ",entertainment
6,"ONGC JOBS 2022: ऑयल एंड नेचुरल गैस कॉर्पोरेशन में 3614 पदों पर भर्तियां, जानें कैसे करें अप्लाई","मुंबई, 05 मई: ऑयल एंड नेचुरल गैस कॉर्पोरेशन लिमिटेड (ओएनजीसी) ने 2022 के लिए 3 हजार से भी अधिक पदों के लिए भर्तियां निकाली हैं। ऑयल एंड नेचुरल गैस कॉर्पोरेशन लिमिटेड (ONGC) ने 3614 अपरेंटिस रिक्तियों के लिए आवेदन आमंत्रित किए हैं।",entertainment
7,"मंदिरा बेदी ने किया खुलासा, क्यों 12 साल से रख रही हैं छोटे बाल","मुंबई. मंदिरा बेदी पिछले 12 सालों से छोटे बालों में ही नजर आती हैं। उन्होंने इसे अपना सिग्नेचर लुक बनाया है। कई बार आपके जहन में ख्याल आता होगा कि आखिर एक्ट्रेस अपना हेयर स्टाइल बदलती क्यों नहीं हैं। उनके तो लंबे और घुंघराले बाल हुआ करते थे फिर क्यों उसे कटाया। तो इसका खुलासा खुद एक्ट्रेस ने किया है। मंदिरा बेदी ने अपने करियर की शुरुआत 1994 में डीडी नेशनल की हिट सीरीज 'शांति' से की थी। जिसमें उन्होंने एक बेहद मजबूत लड़की का किरदार निभाया था। वो इस सीरियल से घर-घर लोकप्रिय हुई थीं। इसके बाद वो 'क्योंकि सास भी कभी बहू थी' में नजर आईं। 'दिलवाले दुल्हनिया ले जाएंगे' से बॉलीवुड में डेब्यू किया। टीवी सीरियल हो या फिर मूवी सब में उनके लंबे और घुंघराले बाल नजर आए। लोगों को खासकर लड़कियों को उनके बाल से प्यार था। घुंघराले बालों से परेशान थी मंदिरा कुछ साल बाद मंदिरा ने अपने खूबसूर बालों को कटवा कर सबको हैरान कर दिया। एक रियलिटी शो में वो छोटे बालों में पहुंची। जिसे देखकर लोग चौंक गए। पिंकविला को दिए इंटरव्यू में मंदिरा ने बताया कि वह अपने लंबे बालों से खुश नहीं थी। उन्होंने आगे कहा कि मैं हर दिन अपने घुंघराले बालों को सीधा करने को लेकर चिंतित रहती थी। इसलिए एक दिन मैंने सैलून जाने और अपने बाल कटवाने का फैसला किया। हेयर स्टाइलिश ने कई बार सोचने को कहा उन्होंने आगे बताया कि जब मैं सैलून गई तो हेयर स्टाइलिश ने पूछा कि क्या तुम्हे यकीन हैं? क्या तुम सच में अपने बालों को छोटा करना चाहते हो? जिस पर मैंने हां कहा। उन्होंने आगे कहा कि उस दिन हेयर स्टाइलिश ने मेरे बाल कंधों तक काटे और कहा कि कल फिर से सोचो, क्या तुम सच में बाल छोटे कराना चाहती हो। इसके बाद मैं घर वापस आ गई। अगले दिन मैं सैलून खुलने से पहले वहां पहुंच गई। सैलून खुलने के बाद मैंने कहा कि मेरे बाल छोटे कर दो। इस तरह मैंने अपने बाल छोटे कर लिए। मेरे बाल पिछले 12 साल से छोटे हैं। बाल छोटे होने के बाद कई रोल ऑफर हुए उन्होंने कहा कि समाज में लड़कियों को छोटे बाल रखने को गलत कहा जाता है। मैं साबित करना चाहती थी कि समाज में बहुत सी चीजें गलत हैं। मंदिरा ने आगे बताया कि जब से मैंने अपने बाल कटवाए हैं, तब से मुझे अलग-अलग भूमिकाएं मिली हैं। मुझे कम से कम 10 पुलिस भूमिकाओं और कम से कम 5-6 नकारात्मक भूमिकाओं की पेशकश की गई है। छोटे बाल मंदिरा के लिए बहुत मायने रखते हैं मंदिरा ने कहा कि मेरे छोटे बाल की वजह से लोगों ने मुझे एक मजबूत आधुनिक महिला की भूमिका के लिए चुना है। इसलिए मेरे लिए मेरे छोटे बाल बहुत मायने रखते हैं। मुझे छोटे बाल पसंद हैं और जब तक मैं चाहूं इसे रखूंगी। उन्होंने आगे कहा कि अगर मुझे कोई ऐसा रोल मिलता है जिसमें बाल लंबे करने को कहा जाएगा तो मैं इसके बारे में सोचूंगी। बता दें कि 50 की उम्र में भी अदाकारा अपने फिटनेस को लेकर काफी मेहनत करती हैं। और पढ़ें: सोनू सूद सड़क किनारे बेच रहे गन्ने का जूस, एक ग्लास पर एक ग्लास फ्री का दिया ऑफर, देखें Video Kareena Kapoor को कॉपी करती नजर आईं मोनालिसा, Video शेयर कर लूटा फैंस का दिल रहस्यमयी दुनिया में पहुंचीं सामंथा रुथ प्रभु, Yashoda का टीजर देख फैंस बोले-शानदार होगी फिल्म",entertainment
8,"Kailia Posey Commited Suicide : कैलिया पोजी की मौत से गहरे सदमे में है पूरा परिवार, एक्ट्रेस की मां ने किया चौंका देने वाला खुलासा.","सुपरहिट चाइल्ड रिएलिटी टीवी शो ' टॉडलर्स एंड टियाराज ' (Toddlers Tiaras) से चर्चा में आईं एक्ट्रेस कैलिया पोज़ी का निधन हो गया है. कैलिया (Kaila Posey) महज 16 साल की थीं. सोमवार यानी 2 मई को मौत के बाद उनके फैंस के बीच गम का माहौल है. ऐसे में कैलिया की मौत को लेकर एक बड़ा अपडेट सामने आया है. रिएलिटी टीवी शो (TV Reality Show) एक्ट्रेस की मौत से जहां एक ओर उनके बड़े और करीबी गहरे सदमें से गुजर रहे हैं. वहीं, दूसरी ओर उनको लेकर एक चौंका देने वाला खुलासा हुआ है. जिसे जानने के लिए हर कोई उत्सुक है. बता दें कि अब तक पोज़ी की मौत के पीछे की कोई वजह सामने नहीं आई थी. लेकिन, अब इस मिस्ट्री पर से आखिरकार पर्दा उठ गया है कि आखिर कैलिया पोज़ी की मौत कैसे हुई. कैलिया पोजी की मौत से पर्दा उठाते हुए अब उनकी मां का एक बयान सामने आया है, जिसे जानने के बाद हर कोई चौंक उठा है. कैलिया की मां ने सोशल मीडिया पर अपनी बेटी की एक तस्वीर शेयर की है. इसके साथ ही उन्होंने कैप्शन में लिखा है कि उनके पास कोई शब्द नहीं हैं. न ही वह इस हालत में हैं कि कुछ भी कह सकें. पोस्ट शेयर करते हुए कैलिया की मां ने लिखा कि मेरी एक खूबसूरत लड़की चली गई है. इस वक्त हमारे ऊपर दुख का पहाड़ टूट पड़ा है और हम इससे गुजर रहे हैं. हमने अपने बेबी को हमेशा के लिए खो दिया है. इसके आगे उन्होंने फैंस से प्रिवेसी की गुजारिश की. कैसे हुई कैलिया पोसी की मौत ? जैसा कि फैंस कैलिया की मौत की वजह जानने के लिए बेचैन हो रहे हैं और सोशल मीडिया पर उनकी मौत को लेकर कयास लगा रहे हैं. उनके सवालों पर मां ने बताया कि कैलिया पोसी ने सूइसाइड किया है. कैलिया ने 16 साल की उम्र में खुदखुशी कर ली. साल 2005 में GIF से हुईं थीं फेमस आपको बता दें कि कैलिया साल 2012 में एक जीआईएफ को लेकर चर्चा में आईं थी. बेहद कम उम्र में उन्होंने बहुत पॉपुलैरिटी बटोरी थी. उस वक्त वह मजह 5 साल की थीं और उनका मुंह बनाते हुए एक gif अबतक वायरल चल रहा है. कैलिया ने साल 2019 में एक हॉरर फिल्म एली में भी मुख्य किरदार के तौर पर काम किया था. ",entertainment
9,'गजनी' में पर्दे पर दहशत फैलाने वाले 70 साल के प्रदीप रावत बॉलीवुड से हैं दूर," 'गजनी' (Ghajini) फिल्म को सिर्फ बॉक्स ऑफिस पर शानदार सफलता की वजह से याद नहीं किया जाता है बल्कि विलेन की वजह से भी याद किया जाता है.   आज हम आमिर खान (Aamir Khan) की नहीं बल्कि प्रदीप रावत (Pradeep Rawat) की बात करेंगे जिसके नाम पर फिल्म का नाम रखा गया था यानी 'गजनी धर्मात्मा'. लंबे अरसे से प्रदीप हिंदी फिल्मों में नजर नहीं आ रहे हैं.   गजनी फिल्म की सफलता से प्रदीप रावत की हिंदी सिनेमा में एक खास पहचान बनीं. हिंदी सिने दर्शकों ने उन्हें हाथों-हाथ लिया. इन दिनों साउथ फिल्म इंडस्ट्री बनाम हिंदी फिल्म इंडस्ट्री को लेकर विवाद छिड़ा हुआ है लेकिन प्रदीप ने दोनों ही जगह सफलता के झंडे गाड़े हैं.   प्रदीप रावत मूल रूप से मध्यप्रदेश के जबलपुर के रहने वाले हैं. प्रदीप ने जब एक्टिंग में करियर बनाने का फैसला किया तो उन्हें भी दूसरे कई सितारों की तरह मुश्किलों का सामना करना पड़ा. लेकिन बी आर चोपड़ा ने उनकी कद काठी देख टीवी के प्रसिद्ध धारावाहिक महाभारत में अश्वत्थामा का रोल दिया.   इसके बाद प्रदीप को छोटे-मोटे बजट की फिल्मों में लीड रोल मिलने लगा. हालांकि उन्हें सफलता नहीं मिली तो उन्होंने सपोर्टिंग रोल में उतरने का फैसला किया.   प्रदीप रावत ने 'ऐतबार' फिल्म में पुलिस वाले का रोल निभाया. इसके अलावा 'अग्निपथ', 'बागी', 'कोयला', 'मेजर साब', 'सरफरोश' जैसी फिल्मों में काम किया लेकिन कोई खास पहचान नहीं मिली.   प्रदीप रावत की जिंदगी बदली और पहचान मिली 'लगान' फिल्म से. हालांकि इस फिल्म में देवा सिंह सोढ़ी के रोल के लिए पहली पसंद नहीं थे, लेकिन जिसे कास्ट किया गया था वह किसी वजह से फिल्म नहीं कर पाएं और प्रदीप को रोल मिला फिर तो जिंदगी ही बदल गई. सरदार के रोल में उन्हें पंजाबी बोलने की दिक्कत को एक कैमरा ने दूर किया था.   हिंदी फिल्मों के बाद साउथ फिल्म इंडस्ट्री का रुख करने का फैसला किया. एस एस राजामौली 'सई' फिल्म बनाने जा रहे थे. इस फिल्म के विलेन के लिए एक तगड़े कैरेक्टर की जरूरत थी. राजामौली के असिस्टेंट ने प्रदीप का नाम सुझाया और इस फिल्म की सफलता ने इतिहास रच दिया.   प्रदीप रावत को 'गजनी' के लिए जाना जाता है लेकिन साउथ इंडस्ट्री में उन्हें आज भी 'सई' वाले विलेन के लिए जाना जाता है.इसे खुद एक्टर मान भी चुके हैं.   प्रदीप आखिरी बार 2015 में बॉलीवुड फिल्म 'सिंह इज ब्लिंग' में नजर आए थे, उसके बाद नहीं दिखे लेकिन 50 से अधिक तेलुगू और तमिल, कन्नड़, मलयाली फिल्मों में काम कर साउथ फिल्म में इंडस्ट्री में जम गए हैं. हालांकि बॉलीवुड की एक अच्छी फिल्म का उन्हें इंतजार है. ",entertainment
