title,content,category
"इमली, खिरनी, फालसे, जामुन, गर्मी के मौसम में बहार है बचपन के फलों की","  1. इमली - गर्मी के दिनों में इमली का सेवन करने पर सेहत को कई सारे लाभ मिलते हैं। इसका सेवन करने से गर्मी में लू लगने बचा जा सकता है। साथ ही पाचन तंत्र को भी अच्‍छा करता है। 2.खिरनी - खिरनी गर्मी के दिनों में पक कर पेड़ से गिर जाती है। इसके कई सारे सेहत लाभ है। दांतों में दर्द होने पर खिरनी का दूध निकाल कर लगा लेना चाहिए। इससे तुरंत आराम मिल जाता है। 3. फालसे - फालसे सिर्फ सीजन में ही पाया जाता है। इसे देश के एग्जॉटिक फलों में से एक माना जाता है। इसमें बहुत सारे मिनरल्स पाए जाते हैं। यह सेहत के लिए लाभदायक है। इसमें जरूरी विटामिन, मिनरल्स और डाइजेशन को सुधारने वाले तत्व होते हैं। 4. जामुन - गर्मी के दिनों में जामुन का अधिक सेवन किया जाता है। उन्हें थोड़ी देर पानी में भिगोने के बाद साफ करके खा लें। इसका सेवन करने से खून की कमी दूर होती है, दिल को स्वस्थ रखें, पाचन शक्ति को मजबूत करें और वजन कम करने में सबसे अधिक मददगार। 5. लीची - गर्मी के दिनों में लीची का सेवन लाभदायक होता है। इसका सेवन करने से पानी की कमी पूरी होती है। लीची खाने से चेहरे पर निखार आता है। इसका सेवन करने से कैंसर कोशिकाओं के बढ़ने से रोकने में मदद मिलती है। अस्थमा से बचाव के लिए लीची का इस्तेमाल किया जाता है। 6.शहतूत - गर्मी के दिनों में शहतूत का सेवन खूब किया जाता है। यह रसीला फल सेहत के लिए भी फायदेमंद है। इसका सेवन करने से शरीर में फैले संक्रमितों को बाहर करने में मदद करता है। 7. अंगूर - काले अंगूर खास तौर पर गर्मी में ही मिलते हैं। इसमें भरपूर एंटीऑक्सीडेंट होते हैं। यह आपके तनाव और बढ़ती उम्र को भी बचाने में मदद करते हैं।",health
दौड़ने के बाद पैर में होता है दर्द तो इन 6 उपायों से पाएं आराम,"Calf Pain After Running : कई बार तेज चलने या जॉगिंग करने के बाद पैरों की पिंडलियों में इतना अधिक जकड़न और ऐंठन महसूस होने लगता है और उठना बैठना मुश्किल हो जाता है. ये दर्द मलहम को लगाने से भी ठीक नहीं होता और पैरों में सूजन (Inflammation) और लालिमा तक आ जाती है. कई बार तो ये कई कई दिनों तक नहीं जाता और इसकी वजह से सीढि़यां उतने और चढ़ने में भी मुसीबत बन जाता है. यह समस्‍या उन लोगों को भी होती है जो नया नया लेग एक्‍सरसाइज करना शुरू किए हैं और जिम जा रहे हैं. ऐसे में पैर की पिं‍डलियों के मसल्‍स टाइट हो जाते हैं और लगातार क्रैंप (Cramp) जैसा दर्द भी होने लगता है. आइए आज हम आपको बताते हैं कि आप पिंडलियों में होने वाले दर्द से आराम पाने के लिए कौन सा घरेलू उपाय कर सकते हैं. इस तरह करें पिंडलियों के दर्द को ठीक व्‍यायाम या रनिंग से पहले वार्मअप जरूरी अगर आप नया नया दौड़ना शुरू किए हैं तो इस तरह के दर्द से बचने के लिए वार्मअप जरूर करें. इसके अलावा दौर की शुरुआत धीमी गति से करें और जब बॉडी गर्म हो जाए तब ही व्‍यायाम करें. : गैस की वजह से भी होता है सिर में दर्द, इन 5 घरेलू उपायों से पाएं राहत हाइड्रेशन जरूरी अपने शरीर को हाइड्रेट रखें क्योंकि डिहाईड्रेशन के कारण भी मसल्‍स में क्रैंप और ऐठन जैसी समस्‍या होने लगती है. आइस पैक का सेक मासंपेशियों में दर्द होने पर आप पैरों का सीधा कर बैठ जाएं और आईस पैक की मदद से 15 मिनट तक सेक लगाएं. इसके बाद अच्‍छी तरह से तेल मालिश कर लें. अच्‍छे जूतों का करें प्रयोग पैर की पिंडलियों को चोट से बचाने के लिए आप सही साइज के जूते और स्पोर्ट्स वेयर पहनें. ऐसा करने से पैरों पर अतिरिक्‍त दबाव नहीं पड़ता और आप बिना दर्द के दौर सकते हैं. : गर्मी में पसीने के कारण त्वचा में हो गई है खुजली, रैशेज, ये हैं इलाज के 4 प्राकृतिक तरीके पैरों को उठाकर रखें सूजन और दर्द को कम करने के लिए आप अपने पैर को सोते समय कुछ देर के लिए ऊपर की ओर दीवार के सहारे रखें. इससे आपको बेहतर महसूस होगा. एक्सरसाइज से करें ठीक पिंडलियों के दर्द को ठीक करने के लिए आप सिंगल लेग स्क्वाट, पिंडलियों को उठाना, पिंडलियों का स्‍ट्रेचिंग, जंपिंग जैक जैसे व्‍यायाम करें. अधिक दर्द होने पर आप डॉक्‍टर की सलाह ले सकते हैं. (Disclaimer: इस लेख में दी गई जानकारियां और सूचनाएं सामान्य मान्यताओं पर आधारित हैं. Hindi news18 इनकी पुष्टि नहीं करता है. इन पर अमल करने से पहले संबंधित विशेषज्ञ से संपर्क करें.)",health
खाने के बाद पानी पीना चाहिए या नहीं? जानें किस वक्त पानी पीना होता है अच्छा,"Healthy Diet in Hindi: एक व्यक्ति को स्वस्थ रहने के लिए नियमित रूप से 10 से 12 गिलास पानी का सेवन करना चाहिए. लेकिन आपको बता दें कि कुछ लोग पानी का सेवन गलत समय पर करते हैं, जिससे शरीर को कई समस्याओं का सामना करना पड़ता है. खाना खाने के तुरंत बाद पानी का सेवन करना चाहिए या नहीं इसको लेकर भी लोगों के मन में कई सवाल आते हैं. आज का हमारा लेख इसी विषय पर है. आज हम आपको अपने इस लेख के माध्यम से बताएंगे कि खाना खाने के बाद कितने समय बाद पानी का सेवन किया जाए और पानी पीने का सही समय क्या है, इसके बारे में भी जानेंगे. पढ़ते हैं आगे... खाना खाने के बाद पानी कब पिए? डॉक्टरों के मुताबिक, खाना खाने के तुरंत बाद पानी का सेवन नहीं करना चाहिए. ऐसा इसलिए क्योंकि हमारे पाचन की अग्नि खाने को पचाने में 2 घंटे का समय लगाती है. ऐसे में यदि पानी पिया जाए तो अग्नि तुरंत ठंडी पड़ जाती है और पाचन तंत्र के काम पर प्रभाव पड़ता है. ऐसे में व्यक्ति को खाने के 45 से 60 मिनट बाद पानी का सेवन करना चाहिए. इससे अलग आप खाने के आधे घंटे पहले भी पानी का सेवन कर सकते हैं. खाने के तुरंत बाद पानी पीने से व्यक्ति को ब्लोटिंग, एसिडिटी आदि समस्याओं का सामना करना पड़ सकता है. पानी पीने के का सही टाइम",health
"रुजुता दिवेकर ने शेयर की नीम के फूल के शरबत की रेसिपी, जानें इस सीजन में इसे पीने के फायदे","चाहे आयुर्वेद हो, डॉक्टर हों या न्‍यूट्रिशियन एक्‍सपर्ट या अन्य स्वास्थ्य विशेषज्ञ हों, सभी सीजनल फूड को अपने डाइट में अधिक से अधिक सलाह देते हैं। ऐसा ही एक मौसमी खाद्य पदार्थ जो वर्तमान में बहुतायत में उपलब्ध है वह है नीम का फूल। इसका उपयोग सब्जी, करी, चटनी, रसम आदि कई तरह के व्यंजन बनाने के लिए किया जाता है, लेकिन हैदराबाद में शरबत बनाने के लिए इसका उपयोग क‍िया जाता है, जो आपको गर्मी के मौसम की चिलचिलाती गर्मी को मात देने में मदद मिलेगी। रुजुता दिवेकर ने भी हाल ही में अपने इंस्टाग्राम अकाउंट पर एक स्वादिष्ट नीम के फूल की शरबत रेसिपी शेयर की और सभी को पेट के बेहतर स्वास्थ्य के लिए इसका सेवन करने की सलाह दी। सेलिब्रिटी न्यूट्रिशनिस्ट रुजुता दिवेकर ने अपने इंस्‍टाग्राम में नई सीरीज 'रेसिपी ऑफ इंडिया' की शुरुआत की है जिसमें वह अलग-अलग जगह की रेसिपीज से हमें रूबरू कराती हैं। ताक‍ि इन देसी नुस्‍खों से होने वाले फायदों के बारे में हम जान सकें। अपनी इस सीरीज में उन्‍होंने 'नीम के फूल का शर्बत' जो क‍ि हैदराबाद का एक साधारण, लेकिन आकर्षक व्यंजन है। नीम के फूल के फायदे नीम के फूल एक अद्भुत प्राकृतिक एंटीसेप्टिक हैं जो आपके सिस्टम को स्वास्थ्यप्रद तरीकों में से एक में साफ करने में मदद कर सकते हैं। ये फूल सफेद-पीले रंग के होते हैं और उपभोग के लिए पूरी तरह से सुरक्षित होते हैं। यह ऑफ सीजन में सूखे और पाउडर के रूप में उपलब्ध है, लेकिन इसका ताजा सेवन करना सबसे अच्छा है। नीम के फूल अप्रैल-मई-जून के महीने में आसानी से उपलब्ध हो जाते हैं और कई स्वास्थ्य लाभ प्राप्त करने के लिए इसे अपने आहार में शामिल करना चाहिए। शरबत बनाने की विधि आवश्यक सामग्री- 2 चम्मच नीम के फूल, 2 बड़े चम्मच गुड़ का पाउडर, 2 कप पानी, 2 चुटकी काली मिर्च का पाउडर, 1 छोटा चम्मच अदरक के बारीक टुकड़े, स्वादानुसार नमक और कच्चे आम के कुछ कटे हुए टुकड़े। तरीका- - एक जग में दो गिलास ठंडा पानी लें। - गुड़ का पाउडर डालकर अच्छी तरह मिला लें और गुड़ का पानी बना लें। - अब गुड़ के पानी को दो गिलास में डालें। - हर गिलास में 1 चम्मच नीम के फूल डालें। - प्रत्येक गिलास में स्वादानुसार नमक और एक चुटकी काली मिर्च पाउडर डालें। - अब प्रत्येक गिलास में लगभग ½ छोटा चम्मच पिसा हुआ अदरक डालें। - अंत में, कटे हुए कच्चे आम के टुकड़े, लगभग 1 चम्मच प्रत्येक गिलास में डालें। - सब कुछ एक साथ मिलाने के लिए हलचल दें और इसे लगभग एक मिनट तक बैठने दें।  नीम के फायदे नीम से होने वाले फायदों से हम अनजान नहीं हैं लेकिन स्वास्थ्य लाभ के मामले में नीम के फूल भी पीछे नहीं हैं। यह आपके पेट की अधिकांश समस्याओं जैसे सूजन, गैस, कब्ज, अपच और पेट दर्द के लिए एक अद्भुत उपाय है। ये फूल पित्त के उत्पादन को कम करने, कफ को नियंत्रित करने और यहां तक कि आंतों के कीड़ों का इलाज करने में मदद करते हैं। नीम के फूल रक्त शर्करा के स्तर को कम करके मधुमेह के रोगियों को भी लाभ पहुंचा सकते हैं और शरीर की समग्र प्रतिरक्षा को भी बढ़ा सकते हैं। इसके अलावा ये आपके पिंपल/मुंहासे वाली त्वचा को साफ करता हैं।  ",health
"Health Tips: बच्चों की आदत में शामिल कराएं ये योगासन, तेजी से बढ़ेगी लंबाई","Health Tips: हालांकि किसी भी व्यक्ति की हाइट (Height) कैसी होगी, यह कई बातों पर निर्भर करता है। लेकिन एक्सपर्ट्स का मानना है कि अगर ग्रोइंग एज (Growing Age) में बच्चों को अच्छी डाइट (Good Diet) दी जाए और वे खूब फिजिकल एक्टिविटीज (Physical Activities) करें तो उनकी हाइट अच्छी हो जाती है। योगा एक्सपर्ट (Yoga Expert) विकास (Vikas) बताते हैं कि कुछ आसनों के नियमित अभ्यास से भी बच्चों की लंबाई बढ़ती है। यही नहीं योगाभ्यास करने से बच्चा शारीरिक, मानसिक रूप से स्वस्थ भी रहता है। यहां हम आपको उन योगासन के बारे में बताएंगे जिनको अगर आप अपने बच्चों की आदत में शामिल करेंगे तो उनकी लंबाई बढ़ाई जा सकती है। ताड़ासन (Tadasana) विधि ताड़ासन करने के लिए सबसे पहले बच्चे से कहें कि वह एक जगह पर सीधा खड़ा हो जाए। दोनों पैरों के बीच दूरी बनाकर रखे। लंबी गहरी सांस लेते हुए दोनों हाथों को सिर से ऊपर उठाए। दोनों हाथों की अंगुलियों को आपस में इंटरलॉक कर ले। अब एड़ी को उठाए और पैरों की अंगुलियों पर खड़े हो जाए। हाथों से पूरी बॉडी को ऊपर की तरफ स्ट्रेच करे। इस अवस्था में 10 सेकेंड रुकने के बाद सांस छोड़ते हुए सामान्य अवस्था में आ जाए। बच्चे इस आसन को आसानी से कर सकते हैं। लाभ इस आसन को रोज करने से लंबाई बढ़ती है। पाचन तंत्र मजबूत बनता है और ब्लड सर्कुलेशन बेहतर होता है। इसके अलावा आंखों की रोशनी बढ़ती है और मांसपेशियां भी मजबूत बनती है। सावधानियां पैरों, पेट में दर्द होने पर बच्चे से यह आसन ना करवाएं। इसी तरह अगर कोई बच्चा किसी गंभीर बीमारी से पीड़ित है, तो उससे भी यह आसन ना करवाएं। वृक्षासन (Vrikshasana) विधि इस आसन को करने के लिए बच्चे से कहें कि वह अपने दोनों पैरों को मिलाकर खड़ा हो जाए। हाथों को एकदम सीधा रखे। अब दाएं पैर को घुटने से मोड़ते हुए एड़ी को बाएं पैर की जांघ पर रखे। अब हाथों को सिर के ऊपर सीधा रखे और नमस्कार की मुद्रा बना ले। इस दौरान उससे कहें कि वह अपनी सांसों को नियंत्रण में रखे। अब 10-20 सेकेंड तक इस अवस्था में रहने के बाद धीरे-धीरे सामान्य अवस्था में लौटने को कहें। लाभ इस आसन को रोज करने से बच्चे की लंबाई बढ़ती है। दरअसल, इससे हाथों और पैरों की मांसपेशियों में खिंचाव आता है, जो लंबाई बढ़ाने में फायदेमंद होता है। साथ ही यह आसन एकाग्रता को भी बढ़ाता है। सावधानियां अगर बच्चे के घुटनों, पैरों में दर्द है तो उससे यह आसन ना करवाएं। हाथों में दर्द होने की स्थिति में भी वृक्षासन नहीं किया जाना चाहिए। पादहस्तासन (Padahastasana) विधि बच्चे से कहें कि वह पादहस्तासन करने के लिए सबसे पहले एकदम सीधा खड़ा हो जाए। लंबी गहरी सांस ले। अब धीरे-धीरे सांस छोड़ते हुए कूल्हों से नीचे की ओर झुके। हाथों की अंगुलियों से टखनों और नाक से घुटनों को छूने की कोशिश करे। इसका अभ्यास धीरे-धीरे करना चाहिए। शुरुआत में इसे करने में थोड़ी दिक्कत आ सकती है। लाभ इस आसन को करने से बच्चे की लंबाई बढ़ने के साथ-साथ उसकी एकाग्रता क्षमता भी बढ़ती है और मांसपेशियां भी मजबूत बनती हैं। इसे रोज करने से किडनी और लिवर भी स्वस्थ रहते हैं। सावधानियां शुरुआत में इस योगासन को धीरे-धीरे करना चाहिए। पीठ, कमर, रीढ़ की हड्डी में दर्द होने की स्थिति में बच्चे से यह आसन ना करवाएं। बच्चे के पेट में दर्द हो तो भी इस आसन को ना करवाएं। भुजंगासन (Bhujangasana) विधि बच्चे से कहें कि भुजंगासन करने के लिए सबसे पहले पेट के बल लेट जाए। अपनी दोनों हथेलियों को कंधों के सामने रखे। पैरों को बिल्कुल सीधा रखे। अब हथेलियों पर वजन डालते हुए नाभि तक के हिस्से को ऊपर उठाए। कुछ देर इसी अवस्था में रहे। सांस छोड़ते हुए सामान्य अवस्था में लौटने को कहें। आप बच्चे से कह सकती हैं कि वह इस योगासन को 3-5 बार दोहराए। लाभ भुजंगासन के नियमित अभ्यास से लंबाई बढ़ाने में मदद मिलेगी। इसके साथ ही भुजंगासन करने से शरीर के ऊपरी हिस्सों का भी विकास होता है। हाथों, पेट, पीठ और पैरों की मांसपेशियां मजबूत बनती हैं। सावधानियां अगर बच्चे के पेट, पीठ या पैरों में दर्द है, तो भुजंगासन का अभ्यास ना करवाएं। इसके अलावा पेट की सर्जरी होने पर भी भुजंगासन नहीं करना चाहिए। शुरुआत में किसी योगा एक्सपर्ट से बच्चे को योगाभ्यास सिखाएं। सही तरीके से अभ्यास करने पर ही बच्चे को इसका पूरा लाभ मिलेगा। लेखक- शिवम चोपड़ा (Shivam Chopra)",health
"आज की रसोई: नींबू महंगा होने से खाने का स्वाद हुआ फीका, तो रेसिपी में इन तरीकों से लाएं खट्टास","नींबू की कीमत बढ़ने से सामान्य परिवारों की रसोई में नींबू का इस्तेमाल कम हो गया है। गर्मी के मौसम में तो नींबू की सबसे ज्यादा जरूरत होती है। सुबह का नींबू पानी हो या फिर गर्मी से राहत दिलाने के लिए नींबू की शिकंजी हो, सभी कुछ नींबू के बढ़े हुए दामों के कारण लगभग बंद हो गया है। ऐसे में अब गर्मियों में प्यास बुझाने के लिए नींबू पानी या शिकंजी के अलावा लोग दूसरा विकल्प तलाश रहे हैं। खाने में भी नींबू से जो खट्टास लाई जाती थी, वह भी लगभग फीकी होने लगी है। लेकिन बिना नींबू के भी आप डिश में स्वाद ला सकते हैं। इसके लिए जो डिश बिना नींबू के अधूरी हैं, उनके लिए नींबू का कोई और विकल्प इस्तेमाल कर सकते हैं। हमारी रसोई में नींबू के बिना भी कई ऐसी सामग्रियां हैं, जो डिश में वही खट्टास ला सकती हैं। चलिए जानते हैं नींबू की जगह खाने में किन चीजों का कर सकते हैं इस्तेमाल। बिना नींबू शिकंजी या सलाद बनाने के लिए जरूरी सामग्री के बारे में जानें। सिरका  सिरका या विनेगर को आप नींबू की जगह इस्तेमाल कर सकते हैं। यह नींबू की तरह ही खट्टा होता है और खाने में इस्तेमाल किया जाता है। इसकी थोड़ी सी मात्रा ही खाने में खट्टास ला सकती है। कई डिश बनाते समय, नींबू ड्रिंक्स या सलाद में आप नींबू न होने पर सिरका इस्तेमाल कर सकती हैं। नींबू का अचार  भले ही नींबू के दाम में उछाल आने से वह आपके किचन से नदारद हो गया है लेकिन कई घरों की रसोई में पहले से बना नींबू का अचार होगा। अगर आपके पास पुराना नींबू का अचार है तो इसे अपनी डिश में नींबू की जगह उपयोग कर सकते हैं। बेकिंग में नींबू के अचार को मिला रही हैं तो हल्का गर्म पानी मिलाकर इस्तेमाल करें। टाटरी  अक्सर अचार को खट्टा करने के लिए टाटरी मिलाई जाती है। टाटरी इमली से बनी होती है। बाजार में आपको टाटरी पाउडर के रूप में मिल जाएगा। एक चुटकी टाटरी का इस्तेमाल करके डिश को खट्टा किया जा सकता है। अमचूर पाउडर  बाजार में आमचूर पाउडर, इमली आदि भी मिल जाएंगे। नींबू की जगह आप इन्हें भी खाने में डाल सकती हैं। इससे खाने के स्वाद में नींबू जैसा खट्टापन आ जाएगा।",health
हेल्दी स्नैक्स के सेवन से इस तरह वजन करें कम,"Healthy Snacks: क्या आपको स्नैक्स खाना पसंद है लेकिन बढ़ते वजन के बारे में सोचते हुए आप इसे खाने से बचते हैं. दरअसल हर कोई फिट और हेल्दी रहना चाहता है. स्लिम फिट बॉडी हर किसी को पसंद होती है. आज के समय में लोग अपनी सेहत को फिट रखने के लिए कई तरह की चीजों को अपनाते हैं. अपने आपको फिट रखने के लिए जिम, एक्सरसाइज और डाइट की मदद लेना जरूरी है. हालांकि कई लोग ऐसे भी होते हैं जो डाइटिंग नहीं कर पाते क्योंकि उनको तरह तरह के व्यंजनों का स्वाद लेना पसंद होता है. वजन बढ़ने का एक कारण अनहेल्दी फूड्स और खराब लाइफस्टाइल भी है. ऐसे में वजन को कंट्रोल में रखने के लिए डाइट में कुछ हेल्दी चीजों को शामिल करना बहुत ही जरूरी है. अगर आपको स्नैक्स खाना पसंद हैं तो घबराएं नहीं बल्कि कुछ हेल्दी स्नैक्स की मदद से आप अपना वजन कम कर सकते हैं. बेक्ड स्वीट पोटैटो बाजार में मिलने वाले चिप्स को स्नैक्स के रूप में खाने के बजाए घर पर बने बेक्ड चिप्स का सेवन करें. ऐसे में आप अपनी डाइट में बेक्ड स्वीट पोटैटो शामिल कर सकते हैं. दरअसल शकरकंद में बीटा कैरोटीन और फाइबर भरपूर मात्रा में पाया जाता है. इसे खाने से आपका पेट लंबे समय तक भरा रहेगा और वजन को कम करने में मदद मिलेगी. मिक्स नट्स नट्स खाना सेहत के लिए बहुत फायदेमंद होता है. काजू-बादाम-अखरोट-अंजीर-मुनक्का का सेवन करने से न केवल शरीर हेल्दी रहता है बल्कि वजन भी आसानी से कम किया जा सकता है. स्प्राउट्स वेज सलाद सलाद का सेवन करने से शरीर को स्वस्थ रखा जा सकता है. पोषण तत्वों से भरपूर स्प्राउट्स वेज सलाद में प्रोटीन, फाइबर, विटामिन्स और मिनरल्स भी भरपूर मात्रा में पाया जाता है. इसे खाने वजन को कम करने में आसानी होती है. मिक्स सीड काले और सफेद तिल, सनफ्लॉवर सीड और अलसी के बीज में फाइबर, विटामिन ई, फैटी एसिड, मैग्नीशियम और जिंक जैसे अच्छे गुण पाए जाते हैं. ये शरीर को सेहतमंद बनाते हैं और वजन को कंट्रोल में रखते हैं. : गर्मी में बढ़ सकती है नाक से खून आने की समस्या, यूं करें नकसीर से बचाव रोस्टेड मखाना मखाने को शरीर के लिए सबसे हेल्दी स्नैक्स माना जाता है. मखाने में ग्लूटिन फ्री प्रोटीन और कार्बोहाइड्रेट पाया जाता है. मखाना खाने से शरीर का वजन कंट्रोल में रहता है और बार-बार भूख भी नहीं लगती. वजन घटाने के लिए आप रोस्टेड मखाने को स्नैक्स के रूप में खा सकते हैं.(Disclaimer: इस लेख में दी गई जानकारियां और सूचनाएं सामान्य जानकारियों पर आधारित हैं. Hindi news18 इनकी पुष्टि नहीं करता है. इन पर अमल करने से पहले संबंधित विशेषज्ञ से संपर्क करें.)",health
"गर्मियों में होंठ फटने की समस्‍या को हल्‍कें में न लें, जानें वजह और कैसे पाएं न‍िजात","सर्दियों में होंठ फटना आम बात है। सूखे और फटे हुए होंठ आमतौर पर ठंड के मौसम से जुड़े होते हैं। हालांकि, गर्मियों में भी होंठों का फटना असामान्य नहीं है। गर्मियों में होंठ को फटना आपके शरीर के पानी के स्‍तर से जुड़ा हुआ होता है। डिहाइड्रेशन की वजह से गर्मियों में होंठ फटना शुरु हो जाते हैं। हालाँकि, गर्मियों में फटे होंठों के लिए उपाय उन लोगों से बहुत अलग होते हैं जिन्हें आप सर्दियों में आजमा सकते हैं। गर्म मौसम में फटे होंठों के लिए खुद को हाइड्रेट रखना सबसे अच्छे उपायों में से एक है। आप अपने होठों को अधिक तेल या क्रीम लगाकर निजात नही पा सकते हैं, लेकिन तरबूज जैसे कुछ शीतल फल आपकी इसमें मदद कर सकते हैं। फटे होंठों से बचने के लिए आपको अपनी गर्मियों की डाइट सही रखने की जरुरत हैं। इसके अलावा उन खाद्य पदार्थों से बचना चाहिए जो डिहाइड्रेशन का कारण बन सकता हैं। आहार का सबसे महत्वपूर्ण हिस्सा जिसे हम अक्सर अनदेखा कर देते हैं वो है, सलाद। हर रोज एक कलरफुल सलाद बनाएं और इनका सेवन करें। खीरा, टमाटर और प्‍याज जैसी सब्जियों में खूब पानी होता है और ये डिहाइड्रेशन से बचने में मदद करता हैं। बीजों का बनाएं डाइट का ह‍िस्‍सा सलाद के अलावा इस मौसम में बीजों को अपने डाइट का ह‍िस्‍सा बनाएं। अलसी, तिल, सूरजमुखी के बीज, पपीते के बीज और अन्य सभी बीज को डाइट का ह‍िस्‍सा बनाएं बीजों में सभी प्रकार के खनिज और विटामिन होते हैं और आप सलाद से लेकर करी और डेसर्ट तक लगभग हर चीज में इनका इस्तेमाल कर सकते हैं। बीज और मेवों में आवश्यक फैटी एसिड होते हैं जो त्वचा को अंदर से कोमल और हाइड्रेड बनाते हैं। खूब पानी पीएं प्यास लगने का इंतजार किए बिना पानी पीने की आदत डाले, वरना शरीर में पानी की कमी हो जाती है और इसका असर स्किन और सेहत पर दिखाई देने लगता है। कई लोग गर्मियों में ये शिकायत करते हैं कि बाहर से आने पर उन्हें सिर में दर्द होने लगता है, ये भी शरीर में पानी की कमी का संकेत हो सकता है। गर्मी से बचने के लिए लोग दिनभर एसी में रहते हैं, जिससे उन्हें प्यास कम लगती है और वे पानी पीना भूल जाते हैं, जिससे डिहाइड्रेशन की समस्या होने लगती है। इसल‍िए रिमाइंडर सेट कीजिए और खूब पानी पीजीए। हैवी चीजों को खाने से परहेज करें गर्मियों में शरीर की पाचन प्रणाली धीमी हो जाती है इसलिए इस मौसम में तली-भुनी चीजें या हैवी भोजन न करें। खीरा, खरबूजा, तरबूज, लौकी, कद्दू, खिचड़ी जैसी जल्दी पचने वाली चीजें खाएं। फ्रूट जूस, दही, छाछ, सलाद का नियमित सेवन करें। गर्मियों में हमारी कोशिश होनी चाहिए कि किसी भी हाल में शरीर में पानी की कमी न हो। source: boldsky.com",health
"क्या है ब्यूटी स्लीप? स्वस्थ त्वचा के लिए क्यों है जरूरी, जानें यहां","शारीरिक और मानसिक रूप से स्वस्थ रहने के लिए प्रतिदिन पर्याप्त नींद लेनी बहुत जरूरी है. सोने से दिन भर की थकान दूर होती है. तन-मन को रिलैक्स महसूस होता है. मानसिक तनाव दूर होता है. यदि आप 7 से 8 घंटे की नींद लेते हैं, तो संपूर्ण सेहत अच्छी बनी रहती है. क्या आप जानते हैं भरपूर सोने से त्वचा भी हेल्दी रह सकती है. जी हां, यदि आप 7 से 8 घंटे हर दिन सोते हैं, तो आपकी स्किन के साथ-साथ बाल भी लंबी उम्र तक स्वस्थ बने रह सकते हैं. ऐसे में सोकर भी आप अपनी स्किन को जवां और हेल्दी बनाए रख सकते हैं. इसे ‘ब्यूटी स्लीप’ का नाम दिया गया है. आइए जानते हैं क्या है ब्यूटी स्लीप (Beauty Sleep Benefits) और इसके फायदे क्या-क्या होते हैं. क्या है ब्यूटी स्लीप शारदा हॉस्पिटल (ग्रेटर नोएडा) के प्रोफेसर- डर्मटोलॉजिस्ट डॉ. क्षितिज गोयल कहते हैं कि ब्यूटी स्लीप का मतलब है स्किन और बालों को पर्याप्त नींद लेकर हेल्दी बनाए रखना. आप जब सोते हैं तो उसका असर त्वचा पर किस तरह से पॉजिटिव रूप में होता है, वही है ब्यूटी स्लीप. वैसे कोई नया कॉन्सेप्ट या टर्म नहीं है. पिछले एक दशक से मार्केट में ब्यूटी स्लीप का टर्म चलन में है. हर दिन पर्याप्त नींद लेना संपूर्ण सेहत के लिए जरूरी होता है. यदि आप सोएंगे नहीं, तो शरीर एक्टिव नहीं रहेगा. दिन भर एनर्जेटिक नहीं रहेंगे. सोना शरीर के रिकवरी के लिए बहुत जरूरी है. चूंकि, त्वचा शरीर का सबसे बड़ा अंग है, ऐसे में इसे स्वस्थ रखने के लिए भरपूर नींद लेना बहुत जरूरी है. : इस तरह करें अंडे का इस्तेमाल, चमक उठेगी स्किन और बाल ब्यूटी स्लीप या सोने के त्वचा पर होने वाले फायदे डॉ. क्षितिज कहते हैं कि यदि कोई व्यक्ति हर दिन पर्याप्त नींद लेता है, तो स्किन रिजूवनेट होती है. त्वचा की कोशिकाओं को लाभ होता है. कोलेजन का निर्माण होता है. त्वचा में ब्लड सर्कुलेशन बढ़ता है. त्वचा ग्लो करती है. झुर्रियों की समस्या नहीं होती है. यदि आप 6 घंटे से भी कम सोते हैं, तो आपके सभी कार्य प्रभावित होंगे. जिस तरह से अन्य अंगों को आराम की जरूरत होती है, उसी तरह से स्किन को भी आराम की जरूरत होती है. सोएंगे और आराम करेंगे, तो त्वचा हेल्दी रहती है. स्किन अच्छी तरह से फॉर्म होगी, रिजुवनेशन प्रॉसेस सही से होगा. कम सोने से त्वचा को होने वाले नुकसान : Sound Sleep Benefits: अच्छी और गहरी नींद लेने के ये हैं 5 बड़े फायदे",health
