title,content,category
"सोनीपत: पेशेवर नहीं थे कोर्ट परिसर में गवाह के हत्यारे, सतर्क होता वेद प्रकाश तो बच जाती जान, कोर्ट में पहले भी हो चुकी ऐसी वारदात","हरियाणा के सोनीपत में न्यायालय परिसर में बाइक पर सवार होकर पहुंचे हमलावर पेशेवर नहीं थे। जिस तरह उन्होंने वारदात को अंजाम दिया, इससे तो प्रत्यक्षदर्शी यही मान रहे हैं। उन्होंने तीन गोलियां चलाईं, जिसमें भी एक गोली वहां खड़ी कार के शीशे में लगी। हालांकि बाद में दो गोली वेद प्रकाश को मारकर वह फरार हो गए।  कोर्ट परिसर में हुई घटना को लेकर प्रत्यक्षदर्शियों ने बताया कि हत्या करने आए दोनों हमलावर पेशेवर नहीं लग रहे थे। वह बाइक खड़ी करके करीब आधा घंटे से घटनास्थल के आसपास चहलकदमी करते रहे। करीब 10:15 बजे वेदप्रकाश अपने अधिवक्ता अमरीश कुमार के चैंबर से बाहर आया था। अधिवक्ता उनसे आगे चल रहे थे। अचानक दोनों हमलावरों ने गोली चलाई। एक के पास तमंचा और दूसरे के पास पिस्तौल थी।  वह ठीक से निशाना नहीं लगा पाए और पहली गोली पास में खड़ी कार के शीशे में जाकर लगी। जब तक वेद प्रकाश कुछ समझ पाता, एक गोली उसके सीने में मार दी गई। अगर वह उस समय थोड़ी सतर्कता दिखाता तो गोली चलने पर भाग सकता था। एक गोली मारने के बाद पिस्तौल से एक और गोली वेद प्रकाश को मारी गई, जबकि हमलावर तमंचा को दोबारा से लोड ही नहीं कर पाए। जैसे ही हमलावरों ने बाइक को चालू किया, बार के प्रधान संदीप शर्मा स्वीटी ने उनकी बाइक का हैंडल पकड़ लिया। इस पर एक हमलावरों ने उन पर भी पिस्तौल तान दी। बाद में वह बाइक को छुड़ाकर भाग गए।  प्रवेश द्वार पर एसएलआर लिए बैठे रहे पुलिसकर्मी न्यायालय के प्रवेश द्वार पर सुरक्षा गार्द के जवान बैठे थे। उनमें से एक के पास एसएलआर भी थी। मौके पर तीन-चार फायर किए गए, अधिवक्ताओं ने शोर भी मचाया, उसके बावजूद पुलिसकर्मियों को घटना की जानकारी नहीं लग सकी। छावनी में बदला कोर्ट परिसर न्यायालय परिसर में गोली मारकर हत्या करने की सूचना मिलते ही पुलिस में हड़कंप मच गया। एसपी हिमांशु गर्ग के साथ ही एएसपी निकिता खट्टर और डीएसपी विपिन कादियान की टीम कोर्ट परिसर में पहुंच गई। पुलिस न्यायालय परिसर में संदिग्धों से पूछताछ करती रही।  खरखौदा नंबर की बाइक पर सवार थे हमलावर हमलावर जिस बाइक पर सवार होकर आए थे, वह खरखौदा नंबर की बताई गई है। पुलिस ने बाइक के नंबर के आधार पर उसका पता लगाने का प्रयास शुरू कर दिया है। बताया जा रहा है बाइक चोरी की थी। हालांकि पुलिस का कहना है कि पूरी जांच के बाद ही स्थिति स्पष्ट हो सकेगी।  पुलिस ने सीसीटीवी फुटेज ली पुलिस ने कोर्ट परिसर में लगे सीसीटीवी की फुटेज ले ली है, जिसके आधार पर हमलावरों की गतिविधियों का पता लगाया जा रहा है। साथ ही पता लगाया जा रहा है कि उनके साथ कोई अन्य तो नहीं था। पुलिस मामले में हर पहलू पर जांच कर रही है।  विजयपाल और वीरेंद्र को प्रोडक्शन पर लेगी पुलिस मामले में बेटी की हत्या के आरोपी विजयपाल और उसके रिश्तेदार वीरेंद्र को आरोपी बनाया गया है। उन पर हत्या का षड्यंत्र रचने का आरोप है। सिटी थाना पुलिस दोनों आरोपियों को प्रोडक्शन वारंट पर लेकर पूछताछ करेगी। पुलिस जल्द मामले से पर्दा उठाने का प्रयास कर रही है। सोनीपत व गन्नौर कोर्ट में पहले भी बहाया जा चुका लहू सोनीपत कोर्ट परिसर में पत्नी की हत्या के मामले में गवाह की हत्या किए जाने से पहले भी तीन मामले सामने आ चुके हैं। साथ ही कुख्यात अजय उर्फ बिट्टू बरोणा पर जानलेवा हमला भी हो चुका है। वहीं हवाई फायर किए जाने की घटना भी हो चुकी है। उसके बाद से सोनीपत कोर्ट में सुरक्षा को लेकर चौकी बनाने के साथ ही सीसीटीवी भी लगवाए गए हैं, लेकिन फिर भी हमलावर वारदात को अंजाम देकर निकल गए।  शुक्रवार को कोर्ट परिसर में गवाही देने आए वेद प्रकाश की सरेआम गोलियां मारकर हत्या कर दी गई। वारदात के बाद सोनीपत के लोगों के जेहन में यहां की कोर्ट में पहले हो चुकीं हत्याओं की याद ताजा हो गई। सोनीपत कोर्ट परिसर में दो लोगों की हत्या की जा चुकी है। इसमें सबसे पहले संजय बुटाना की कोर्ट में ही गोली मारकर हत्या कर दी गई थी।  वह कोर्ट परिसर में हत्या के मामले की सुनवाई के लिए आया था। इसी दौरान रंजिश के चलते बुटाना गांव के ही जगबीर ने संजय को गोली मारी थी। इस घटना के बाद वर्ष 2010 में संजय बुटाना के चाचा ओमप्रकाश की भी कोर्ट परिसर में ही गोली मारकर हत्या की गई थी। वहीं मार्च, 2016 में गन्नौर कोर्ट में बदमाश विकास उर्फ दूधिया की गोलियां मारकर हत्या कर दी थी। साथ ही 18 मार्च, 2021 को सिपाही महेश पर कोर्ट परिसर में कुख्यात अजय उर्फ बरोणा की हत्या का प्रयास करने का मुकदमा दर्ज हुआ। अजय के सिर में तीन गोली मारी गई थीं।  सोनीपत न्यायिक परिसरों में हुई वारदात  व्यक्ति की हत्या से खफा अधिवक्ताओं ने किया वर्क सस्पेंड न्यायालय परिसर में अधिवक्ता के चैंबर नंबर 207 के बाहर गवाही देने आए मुवक्किल की गोली मारकर हत्या किए जाने के बाद सोनीपत कोर्ट के अधिवक्ता सुरक्षा को लेकर खफा हो गए। उन्होंने बार में वर्क सस्पेंड कर दिया। हालांकि बाद में एसपी से बातचीत के बाद उन्होंने वर्क सस्पेंड को वापस ले लिया।  शुक्रवार सुबह गांव मुकीमपुर निवासी वेद प्रकाश पत्नी की हत्या के मामले में गवाही देने कोर्ट में आया था। जब वह अपने अधिवक्ता अमरीश से मिलकर गवाही देने जाने के लिए उनके चैंबर से बाहर आया तो इसी दौरान बाइक सवार दो हमलावरों ने उनकी हत्या कर दी। घटना से गुस्साए अधिवक्ताओं ने कोर्ट परिसर में सुरक्षा व्यवस्था में सवाल उठाए। उन्होंने वर्क सस्पेंड की घोषणा कर दी।  वर्क सस्पेंड से कोर्ट परिसर में कोई कामकाज नहीं हो सका। हालांकि बाद में बार एसोसिएशन प्रधान संदीप शर्मा स्वीटी की सेशन जज व एसपी के साथ बैठक हुई, जिसमें एसपी ने सुरक्षा को लेकर कोई कोताही नहीं बरते जाने का आश्वासन दिया। इसके बाद अधिवक्ताओं ने वर्क सस्पेंड को वापस ले लिया। कोर्ट परिसर में सुरक्षा व्यवस्था की समीक्षा की गई है। सुरक्षा को सुदृढ़ बनाने को हर संभव कदम उठाए जाएंगे। बार एसोसिएशन से भी इस बारे में सुझाव मांगे गए हैं। फिलहाल प्रवेश व निकासी द्वार अलग-अलग करके पुलिस टीम लगाने का निर्णय लिया गया है। - हिमांशु गर्ग, एसपी, सोनीपत",crime
"हरियाणा: सात नर्सिंग होम-क्लीनिक पर छापे, बिना लाइसेंस के दवाइयों की दुकानें पकड़ी, मंत्री विज बोले- होगी कड़ी कार्रवाई","विस्तार  हरियाणा के खाद्य एवं औषधि प्रशासन विभाग ने नर्सिंग होम, क्लीनिक में बिना लाइसेंस चल रही दवा की दुकानों पर शिकंजा कस दिया है। विभाग की टीमों ने रेवाड़ी और सोनीपत में औचक निरीक्षण कर 4 अवैध दुकानें पकड़ी हैं। टीमों ने विभिन्न दवाइयों के नमूने लेकर दस्तावेज कब्जे में लिए हैं। हरियाणा खाद्य एवं औषधि प्रशासन मंत्री अनिल विज ने बताया कि इनके खिलाफ औषधि एवं प्रसाधन सामग्री अधिनियम के तहत मुकदमे दायर किए जाएंगे। अवैध कार्य करने वाले डॉक्टरों के खिलाफ सख्त कार्रवाई की जाएगी। रेवाड़ी के मॉडल टाउन में डॉ. स्मिता कश्यप संचालित स्किन लेजर, कास्मेटिक सर्जरी एवं हेयर ट्रांसप्लांट क्लिनिक में छापे के दौरान एफडीए की टीम ने दुकान से विकास यादव को डॉक्टर की पर्ची पर दवाइयां बेचते पाया। टीम ने मौके से 5 तरह की दवाइयों के नमूने जांच को लिए, 15 तरह की दवाइयों को फार्म-16 पर फर्द बनाकर अपने कब्जे में लिया है। न्यायालय से उनकी बरामदगी के आदेश प्राप्त किए हैं। बिना लाइसेंस की दुकान से मरीजों को बिक्री बिल भी जारी किए जा रहे थे। टीम ने 34 बिक्री बिल मौके से बरामद किए हैं।  सोनीपत में डूडेजा ईएनटी अस्पताल, डा. गौरव संचालित रॉयल डेंटल अस्पताल में चल रही अवैध दुकानों पर भी छापे मारे गए। डुडेजा ईएनटी अस्पताल के संचालक डॉ. एसएल डुडेजा ने बताया कि उनकी पर्ची पर वीना ग्रोवर दवाइयां बेचती और पैसे वसूल करती हैं। टीम ने 12 प्रकार की दवाइयों को सबूत के तौर पर जांच के लिए कब्जे में लिया है। टीम ने मौके से ओपीडी रजिस्टर एवं दवाइयों के खरीद बिल भी सबूत के तौर पर बरामद किए हैं।  विज ने बताया कि रॉयल डेंटल अस्पताल में खुली दुकान से चिराग नाम का व्यक्ति डॉक्टर की पर्ची पर दवाइयां बेचता मिला, जो 12वीं पास है। टीम ने 12 प्रकार की दवाइयों के नमूने लिए हैं। रॉयल डेंटल क्लिनिक पर सात अन्य डाक्टर भी प्रेक्टिस करने आते हैं और सभी की पर्ची पर इसी दुकान से मरीजों को दवाइयां दी जाती हैं, यह नियमों का उल्लंघन है। मौके से टीम ने बिक्री बिल, खरीद बिल और ओपीडी रजिस्टर भी बरामद किए हैं। शुक्रवार को कैथल शहर में श्रीकृष्ण अस्पताल व पोपली नर्सिंग एवं चेस्ट क्लिनिक में जांच की गई। दोनों स्थानों पर खुले अवैध मेडिकल स्टोर के काउंटर से दवाइयों की बिक्री हो रही थी। रोहतक व महम में भी कार्रवाई की गई। रोहतक के सेक्टर-1 में कुंडू क्लिनिक व महम में दीपाजंली अस्पताल में चल रही अवैध दुकान से दवाइयों के नमूने लिए हैं। उन्होंने ब्लड सेंटर्स संचालकों को चेताते हुए कहा कि बिना स्वीकृति के आउटडोर कैंप आयोजित न करें। नियमानुसार इनकी जानकारी खाद्य एवं औषधि प्रशासन विभाग को मुहैया करवाएं अन्यथा कानूनी कार्रवाई की जाएगी।",crime
"भिवानी: रसीद घोटाले से खरीदी जमीन की तीनों रजिस्ट्री जब्त, कोर्ट के फैसले के बाद पुलिस करेगी नीलाम","विस्तार  भिवानी में नगर परिषद रसीद घोटाले के आरोपी अकाउंटेंट सुरेश ने पूछताछ में बताया था कि गबन की राशि 57.72 लाख रुपये की आठ एकड़ जमीन खरीदी है। इसके बाद पुलिस ने जमीन की तीनों रजिस्ट्री जब्त कर ली हैं। इन जमीन को कोर्ट के फैसले के बाद नीलाम कर सरकारी संपत्ति की रिकवरी की जाएगी। वहीं पुलिस ने आरोपी सुरेश को धोखाधड़ी के एक और मामले में प्रोडक्शन वारंट पर लिया। इसके बाद उससे 50 हजार रुपये और बरामद किए गए। आरोपी को शुक्रवार को कोर्ट में पेश किया गया, जहां से जेल भेज दिया गया। उल्लेखनीय है कि नगर परिषद में पूर्व पार्षद सुदर्शन जिंदल की शिकायत पर चेक घोटाले का खुलासा हुआ। इस मामले में आरोपी निवर्तमान चेयरमैन रण सिंह यादव, तत्कालीन कार्यकारी अधिकारी संजय यादव, अकाउंटेंट सुरेश कुमार, संजय बंसल, बैंक सेल्स मैनेजर नितेश जैन व पांच अन्य की गिरफ्तारी हो चुकी है। चेक घोटाले के बाद रसीद घोटाला सामने आया, जिसमें फर्जी रसीदों के सहारे आमजन के साथ धोखा किया गया। समाजसेवी सुशील वर्मा की शिकायत पर धोखाधड़ी का केस दर्ज हुआ। नगर परिषद अधिकारियों ने भी फर्जी रसीद की शिकायत दी और यह धोखाधड़ी का अलग से मामला दर्ज हुआ।  पुलिस ने रसीद घोटाले में आरोपी अकाउंटेंट सुरेश कुमार को प्रोडक्शन वारंट पर लेकर दो दिन के रिमांड पर लिया था। इसमें एक रसीद बुक के सहारे ही करीब 28 लाख का घोटाला सामने आया। दूसरी रसीद बुक मिली नहीं है और कयास लगाए जा रहे है कि दूसरे रसीद बुक के सहारे भी 25 लाख से अधिक का गबन किया गया है।  रिमांड के दौरान सुरेश कुमार ने खुलासा किया कि उसने गबन की राशि से पत्नी के नाम 57.72 लाख रुपये में तोशाम में आठ एकड़ जमीन खरीदी है। आरोपी को पुलिस की आर्थिक अपराध शाखा ने धोखाधड़ी के तीसरे मामले में प्रोडक्शन वारंट पर लिया। जिसके दौरान 50 हजार की राशि और उससे बरामद की गई। धोखाधड़ी के इस मामले में पुलिस ने अकाउंटेंट सुरेश से पहले नौ अप्रैल को आरोपी रजनीश निवासी आजाद नगर भिवानी को गिरफ्तार किया था। 10 अप्रैल को रजनीश के साथ कराटे कोच हरीश को गिरफ्तार किया गया। हरीश से 1.25 लाख, मोबाइल फोन, लैपटॉप, प्रिंटर बरामद किए गए थे। रजनीश से 1.10 लाख रुपये बरामद हुए थे।  कहां गई दूसरी रसीद बुक आर्थिक अपराध शाखा के समक्ष यह बात तो सामने आई है कि फर्जी तरीके से दो रसीद बुक तैयार की गईं। एक रसीद बुक बरामद हुई, जिसमें करीब 28 लाख का गबन सामने आया। मगर दूसरी रसीद बुक अब तक नहीं मिली है। ऐसे में सवाल यह है कि आखिर दूसरी रसीद बुक कहां गई। आरोपी रजनीश के तीन दिन के रिमांड, आरोपी हरीश के दो दिन के रिमांड और अकाउंटेंट सुरेश कुमार के रिमांड के बावजूद पुलिस अब तक वह रसीद बुक बरामद नहीं कर पाई है।  नहीं मिली दूसरी रसीद बुक रसीद पर्ची घोटाले में आरोपी सुरेश कुमार से 50 हजार रुपये बरामद किए गए हैं। अभी दूसरी रसीद बुक नहीं मिली है। आरोपी को कोर्ट में पेश कर जेल भेज दिया है। -एसआई सतपाल सिंह, इंचार्ज, आर्थिक अपराध शाखा।",crime
"हिसार: फोटोस्टेट दुकानदार ने किया आदिवासी महिला से दुष्कर्म, केस दर्ज","विस्तार  हरियाणा के हिसार शहर में रहने वाली एक आदिवासी महिला से दुष्कर्म करने, जान से मारने की धमकी देने व उसकी अश्लील वीडियो बनाकर वायरल करने की धमकी देने का मामला सामने आया है। पीड़िता की शिकायत पर हिसार पुलिस ने केस दर्ज कर जांच शुरु कर दी है। पुलिस को दी शिकायत में पीड़ित महिला ने शहर के ही एक फोटोस्टेट दुकानदार पर दुष्कर्म करने, जान से मारने की धमकी देने व वीडियो वायरल करने की धमकी देने के आरोप लगाए हैं। शिकायत में महिला ने कहा कि वह आदिवासी महिला है। हिसार शहर के ही एक ऑनलाइन फार्म भरने वाले व फोटोस्टेट के दुकानदार ने उसके साथ बलात्कार किया है। महिला का कहना है कि वह अप्रैल 2018 में उसकी दुकान पर आधार कार्ड निकलवाने गई थी। इसके बाद वह सरकारी नौकरी के फार्म भरने के लिए कई बार उसकी दुकान पर गई। महिला का आरोप है कि एक दिन उस दुकानदार ने खाने की चीज में नशीला प्रदार्थ मिलाकर खिला दिया। जिसके बाद वह बेहोंश गई। महिला के आरोप हैं कि बेहोंशी के हालात में उक्त दुकानदार ने उसके साथ बलात्कार व अश्लील वीडियो भी बनाई।  होंश आने पर जब महिला ने विरोध किया तो दुकानदार ने वीडियो वायरल करने व जान से मारने की धमकी दी। महिला का आरोप है कि वह मुझे ब्लैकमेल करने लगा एक एक साल तक दुष्कर्म किया। महिला का आरोप है कि उक्त दोषी के दुष्कर्म करने से वह गर्भवति हो गई व एक बच्चा भी पैदा हुआ।  महिला की शिकायत पर आरोपी के खिलाफ केस दर्ज किया गया है। पीड़िता ने आरोपी पर सख्त से सख्त कार्रवाई की मांग की है। पुलिस मामले की जांच कर रही है।",crime
"सोनीपत: वाहन चालक से उगाही करता पकड़ा गया फर्जी आरटीए कर्मी, फर्जी पहचानपत्र और पैसे बरामद","विस्तार  हरियाणा के सोनीपत में क्षेत्रीय परिवहन प्राधिकरण (आरटीए) के निरीक्षक की टीम ने कामी चौक के पास आरटीए कर्मी बनकर वाहन चालकों से अवैध उगाही कर रहे बाइक सवार युवक को दबोचा है। आरोपी को सदर थाना पुलिस को सौंप दिया गया। पुलिस ने आरोपी के खिलाफ मुकदमा दर्ज जांच शुरू कर दी है। पुलिस आरोपी के अन्य साथियों का पता लगा रही है। उसके पास से फर्जी पहचानपत्र और एक ट्रक चालक से वसूले गए रुपये बरामद कर लिए गए हैं। आरोपी गन्नौर के गांव शेखपुरा का रहने वाला अमरदीप है। आरोपी ने पुलिस पूछताछ में बताया कि वह फिजूलखर्ची करने, होटलों में साथियों के साथ खाना खाने और महिला मित्र का खर्च चलाने के लिए वाहनों से वसूली करता है।  परिवहन विभाग की टीम गुरुवार रात बाईपास चौक पर वाहनों की चेकिंग कर रही थी। विभाग के निरीक्षक और सड़क सुरक्षा अधिकारी राजेश मलिक ने बताया कि सफियाबाद के कृष्ण कुमार ने रात को बताया कि उसके ट्रक के सभी कागजात पूरे हैं। उसके बावजूद आपकी टीम ने उसे कामी चौक पर रोका हुआ है। उन्होंने पता किया तो जानकारी मिली कि कामी चौक पर परिवहन विभाग की कोई टीम ही नहीं थी। कृष्ण कुमार से ट्रक चालक सन्नी का नंबर लेकर बातचीत की गई। सन्नी ने बताया कि एक युवक खुद को आरटीए कर्मी बता रहा है। उसने कागजात में कमी बताकर पांच हजार रुपये ले लिए हैं। इसकी सूचना तुरंत जिला परिवहन अधिकारी मानव मलिक को दी गई। उनके निर्देश पर टीम कामी चौक पर पहुंच गई। वहां पर कथित आरटीओ कर्मी ने एक ट्रक को रोका हुआ था। वह कागजात में कमी बताकर उनसे भी वसूली का प्रयास कर रहा था। उसने कहा कि उसकी जीप के साथ स्टाफ अभी आगे गया हुआ है। टीम ने उसको काबू कर लिया। उसको सदर थाना पुलिस को सौंप दिया गया। पुलिस जांच में सड़क किनारे खड़ी हुई आरोपी की बाइक मिल गई। उसके पास से फर्जी पहचानपत्र और वसूले गए पांच हजार रुपये बरामद कर लिए गए। आरोपी युवक ने बताया कि वह शेखपुरा गांव का रहने वाला अमरदीप है। आरोपी ने पुलिस पूछताछ में बताया कि वह फिजूलखर्ची करने, होटलों में साथियों के साथ खाना खाने और महिला मित्र का खर्च पूरा करने के लिए वाहनों से वसूली करता है।  वह दो साल से अवैध वसूली कर रहा था और कई बार तो एक माह में 50 हजार से एक लाख तक की वसूली कर लेता था। युवक ने स्नातकोत्तर तक की शिक्षा ग्रहण कर रखी है। पुलिस ने आरोपी को अदालत में पेश किया, जहां उसे जेल भेज दिया गया। आटीए कर्मी बनकर वसूली करने वाले युवक को पुलिस को सौंप दिया गया है। इससे विभाग की बदनामी हो रही थी। उसके खिलाफ मुकदमा दर्ज करा दिया गया है। -मानव मलिक, जिला परिवहन प्राधिकरण अधिकारी",crime
"फतेहाबाद: बोर्ड परीक्षाओं में फर्जी परीक्षार्थी भेजने वाला मास्टरमाइंड स्कूल संचालक गिरफ्तार, 10 हजार में करता था सेटिंग","विस्तार  हरियाणा के फतेहाबाद के गांव भूथनकलां के परीक्षा केंद्र पर बोर्ड परीक्षा के दौरान पिछले दिनों पकड़े गए नौ फर्जी परीक्षार्थी मामले में पुलिस ने मास्टरमाइंड निजी स्कूल संचालक को गिरफ्तार कर लिया है। स्कूल संचालक परीक्षा को लेकर विद्यार्थियों से सेटिंग करता था और फिर फर्जी परीक्षार्थी परीक्षा में भेजे जाते थे। एडमिट कार्ड पर फोटो को भी आरोपी स्कूल संचालक ही सत्यापित करता था। पूछताछ में सामने आया है कि फर्जी परीक्षार्थी भेजने के लिए 10 हजार रुपये में सेटिंग की जाती थी। मामले में पुलिस ने आरोपी एमए बीएड पास स्कूल संचालक गांव हसंगा निवासी सतपाल को काबू किया है। स्कूल संचालक से मोहर बरामद करनी है, जिससे वह फोटो सत्यापित करता था। इसके अलावा स्कूल के रिकॉर्ड को लेकर भी जांच करनी है। पुलिस वह रजिस्टर भी बरामद करेगी, जिसमें संबंधित परीक्षार्थी का रिकॉर्ड दर्ज था। बताया जा रहा है कि विद्यार्थियों के स्कूल में नाम चल रहे थे लेकिन वह नहीं आ रहे थे। फर्जी परीक्षार्थी भेजकर पेपर दिलवाता था। गिरफ्तार किए गए आरोपी निजी स्कूल संचालक को पुलिस ने कोर्ट में पेश किया। यहां से एक दिन के रिमांड पर भेजा गया है।  एक साथ पकड़े गए थे 9 फर्जी परीक्षार्थी हरियाणा विद्यालय शिक्षा बोर्ड की 12 अप्रैल को दसवीं कक्षा की गणित की परीक्षा थी। बोर्ड चेयरमैन की स्पेशल फ्लाइंग जब जांच करने के लिए भूथनकलां के परीक्षा केंद्र पर पहुंची तो यहां पर टीम को 9 फर्जी परीक्षार्थी मिले। ये परीक्षार्थी की जगह परीक्षा दे रहे थे। टीम ने जब जांच की तो उसमें सामने आया कि गांव हसंगा के एक निजी स्कूल के परीक्षार्थियों की जगह परीक्षा दे रहे थे। मामले में केंद्र अधीक्षक की शिकायत पर सदर पुलिस ने मामला दर्ज किया था। मौके पर तीन परीक्षार्थियों को टीम ने पकड़ लिया था जबकि 6 भाग गए थे। बोर्ड परीक्षा में फर्जी परीक्षार्थी पकड़े जाने के मामले में निजी स्कूल संचालक को काबू किया गया है। आरोपी ही फर्जी परीक्षार्थी को लेकर सेटिंग करता था और फोटो सत्यापित करता था। मामले में शामिल अन्य आरोपियों को भी जल्द काबू कर लिया जाएगा। -यादविंद्र सिहं, सदर थाना प्रभारी",crime
"हरियाणा: राजस्थान के सीकर से किडनैप हुए पांच बच्चे रेवाड़ी रेलवे स्टेशन से बरामद, सकुशल सुपुर्द किया","विस्तार  हरियाणा के रेवाड़ी में राजस्थान के सीकर जिले से किडनैप हुए पांचों बच्चों की सहकुशल बरामदगी रेवाड़ी जंक्शन से हुई है। सीकर पुलिस ने ही रेवाड़ी आरपीएफ को बच्चों के अपहरण होने की जानकारी दी थी। उसके बाद पुलिस ने टीमें बनाकर स्टेशन से बच्चों को बरामद कर लिया। बच्चों को सीकर पुलिस के हवाले कर दिया गया है।  रेवाड़ी आरपीएफ इंस्पेक्टर प्रदीप कुमार सांगवान ने बताया कि 21 अप्रैल को सीकर के उद्योग नगर पुलिस थाना से एएसआई सोहनलाल ने आरपीएफ रेवाड़ी को सूचना दी कि सीकर कस्बे से पांच बच्चों के अपहरण का मामला दर्ज किया है।  उक्त बच्चे सीकर रेलवे स्टेशन से रेवाड़ी रेलवे स्टेशन के लिए पैसेंजर गाड़ी से रवाना होने की सूचना मिली है। सीकर पुलिस ने बच्चों के फोटोग्राफ भी उपलब्ध कराए। मामले की गंभीरता को देखते हुए आरपीएफ थाना प्रभारी ने सीसीटीवी कैमरों की जांच की तथा स्टेशन परिसर में आरपीएफ जवानों की टीम बनाकर तलाश की गई। देर रात पांच नाबालिग बच्चे, जिनमें 3 लड़कियां व 2 लड़के रेवाड़ी स्टेशन से बरामद हो गए। जिसकी सूचना सीकर थाने में व्हाट्सएप पर फोटो भेजकर दी गई। सीकर पुलिस ने तस्दीक की। इंस्पेक्टर प्रदीप कुमार बताया कि सीकर थाने से आए एएसआई सोहनलाल तथा परिजनों को पांचों बच्चों को कागजी कार्रवाई के बाद सकुशल सुपुर्द कर दिया गया है। इस मामले की जांच सीकर पुलिस कर रही है। बच्चों का अपहरण किसने किया अभी इस मामले में जांच चल रही है। पता लगेगा तो आप को भी बताया जाएगा। - प्रदीप कुमार सांगवान, इंस्पेक्टर, आरपीएफ",crime
"बहादुरगढ़: अस्पताल में गैंगस्टर नवीन बाली को मारने की थी कोशिश, पुलिस की मुस्तैदी से मंसूबों पर फिरा पानी","विस्तार  हरियाणा के बहादुरगढ़ में पुलिस हिरासत में चल रहे दिल्ली के गैंगस्टर नवीन बाली को शुक्रवार को मारने के प्रयास के आरोप में गांव देसलपुर के एक बदमाश को पुलिस ने ऑटोमेटिक रिवॉल्वर के साथ काबू कर लिया। पुलिस के अनुसार यह युवक और उसके साथी बदमाश उस वक्त नवीन बाली को मारने पहुंचे थे जब पुलिस नवीन बाली को मेडिकल परीक्षण के लिए लेकर नागरिक अस्पताल पहुंची थी। उधर, नवीन बाली की रिमांड अवधि भी पुलिस ने हत्या के चार मामलों में पूछताछ के लिए सात दिन के लिए बढ़वा ली है। गैंगस्टर नीरज बवाना के खास सहयोगी नवीन बाली का सात दिन का रिमांड पूरा होने के बाद पुलिस ने शुक्रवार को उसको कोर्ट में दुबारा पेश किया। पुलिस ने हत्या की चार वारदातों के मामलों में कुछ खास जानकारी हासिल करने के लिए नवीन बाली की रिमांड अवधि बढ़ाने की मांग की। इस पर नवीन बाली को अदालत ने सात दिन पूछताछ के लिए पुलिस को सौंप दिया। इससे पूर्व पुलिस मेडिकल परीक्षण के लिए नवीन बाली को नागरिक अस्पताल बहादुरगढ़ ले गई। पुलिस अधीक्षक वसीम अकरम ने बताया कि यहां अपराध शाखा पुलिस और शहर थाना प्रभारी जयभगवान के नेतृत्व में पुलिस के जवान सुरक्षा के लिए साथ थे। सुबह साढ़े ग्यारह बजे हलवदार पवन को नवीन बाली के विरोधी गैंगस्टर अशोक प्रधान व बंटी देसलपुर का साथी बदमाश हिमांशु संदिग्ध हालत में दिखाई दिया।  पवन तुरंत निर्णय लेते हुए बदमाश हिमांशु को पकड़ने के लिए दौड़ा। हिमांशु भागने लगा। हलवदार पवन ने करीब 500 मीटर तक पीछा करके हिमांशु को दबोच लिया। हवलदार विनोद ने इस काम में पवन की मदद की। हिमांशु के कब्जे से पुलिस ने .30 बोर की ऑटोमेटिक रिवॉल्वर बरामद की। हिमांशु से पूछताछ की गई तो उसने बताया कि उसके साथी राकेश डाबोदा व एक अन्य युवक अस्पताल के बाहर खड़े थे। इस पर पुलिस ने राकेश व उसके दूसरे साथी की तलाश की लेकिन तब तक वे फरार हो चुके थे।  एसपी ने बताया कि निलोठी के गैंगस्टर अशोक प्रधान की नीरज बवाना व नवीन बाली से दुश्मनी है। इसलिए अशोक ने नवीन बाली की हत्या करवाने के लिए बहादुरगढ़ में उसकी मौजदूगी को मौके के तौर पर लिया। अशोक ने इसकी जिम्मेदारी बंटी देसलपुर को सौंपी। बंटी देसलपुर ने अपने गांव के हिमांशु, राकेश डाबोदा एक व अन्य को शुक्रवार को ही हथियार उपलब्ध करवाकर अस्पताल भेजा। लेकिन हलवदार पवन व विनोद की मुस्तैदी से ये बदमाश अपने मंसूबों में सफल नहीं हो पाए। वे तभी से नवीन बाली को मारने की योजना बना रहे थे, जब आठ दिन पहले उसको दिल्ली से प्रॉटक्शन वारंट पर लाया गया। शुक्रवार से दो दिन पहले भी हिमांशु रेकी करने के लिए अस्पताल आया था। हिमांशु को पकडने वाले हवलदारों पवन और विनोद को एसपी वसीम ने 20-20 हजार रुपये देकर पुरस्कृत किया और पुलिस प्रशंसा पत्र देने की सिफारिश करने की घोषणा की। गैंगस्टर नवीन बाली को मारने के प्रयास के आरोप में देसलपुर के हिमांशु को गिरफ्तार किया गया है। उसके साथ अस्पताल तक पहुंचे उसके दोनों साथियों की तलाश शुरू कर दी गई है और इन तीनों को भेजने वाले बंटी देसलपुर के ठिकानों पर दबिश दी जा रही है। -वसीम अकरम, एसपी झज्जर",crime
