title,content,category
"कांग्रेस में शामिल हो सकते हैं पाटीदार नेता नरेश पटेल, सोनिया गांधी से आज करेंगे मुलाकात","नई दिल्ली, 23 अप्रैल: गुजरात में इस साल विधानसभा के चुनाव हैं, जिस वजह से वहां पर राजनीतिक सरगर्मियां काफी तेज हैं। इस बीच खबर आ रही कि गुजरात के पाटीदार नेता नरेश पटेल जल्द ही कांग्रेस में शामिल हो सकते हैं। इसके लिए वो आज दिल्ली में कांग्रेस की अंतरिम अध्यक्ष सोनिया गांधी से मुलाकात करेंगे। source: oneindia.com",politics
"भोपाल: अमित शाह बोले- कांग्रेस की स्थापना अंग्रेजों ने क्लब के रूप में की थी, बीजेपी आंदोलन की आंच में तप कर निकली है","विस्तार केंद्रीय गृहमंत्री अमित शाह ने शुक्रवार को पार्टी के प्रदेश मुख्यालय पर केंद्रीय मंत्रियों, पार्टी के राष्ट्रीय पदाधिकारियों, वरिष्ठ नेताओं, प्रदेश पदाधिकारियों एवं प्रदेश के मंत्रियों की बैठक ली।",politics
"सीएम को पीएमओ से बुलावा: शिवराज मिलेंगे प्रधानमंत्री नरेंद्र मोदी से आज, महाकाल वन/कॉरिडोर के लोकार्पण के लिए निमंत्रण देंगे",विस्तार मुख्यमंत्री शिवराज सिंह चौहान शनिवार सुबह 11.30 बजे प्रधानमंत्री नरेंद्र मोदी से मुलाकात करेंगे। मुख्यमंत्री को पीएमओ से बुलावा आया है। अमित शाह के दौरे के एक दिन बाद शिवराज को प्रधानमंत्री नरेंद्र मोदी के दिल्ली बुलावे पर कई अटकलें लग रही हैं।,politics
"तेजस्वी से मुलाकात पर लग रहे राजनीति कयास पर आया नीतीश का बयान, सुशील मोदी के ट्वीट पर भी बोले","जागरण टीम, पटना। बिहार के मुख्यमंत्री नीतीश कुमार शुक्रवार को तेजस्वी यादव के निमंत्रण पर राबड़ी आवास में आयोजित इफ्तार पार्टी में शामिल होने गए थे। सीएम के राजद के कार्यक्रम में पहुंचने पर कई तरह की राजनीतिक कयास लगाए जाने शुरू हो गए थे। इन अटकलों पर शनिवार को नीतीश ने खुद जवाब दिया। पटना में कुंवर सिंह श्रद्धांजलि अर्पित करने के बाद पत्रकारों से बातचीत के क्रम में नीतीश ने कहा कि तेजस्वी यादव की इफ्तार पार्टी में मेरे शामिल होने पर कोई राजनीतिक कयास नहीं लगाया जाएं। मुझे निमंत्रण मिला था, तो मैं गया। इस दौरान उन्होंने सुशील मोदी के ट्वीट पर भी प्रतिक्रिया दी। नीतीश ने कहा ट्वीट सुशील मोदी ने किया है, तो वह जाने मुझे क्या मतलब।",politics
असमिया मुसलमानों की स्वदेशी समूह के रूप में पहचान करने के लिए पहचान पत्र जारी होगा : समिति,"गुवाहाटी: असम सरकार द्वारा गठित एक समिति ने सिफारिश की है कि राज्य में एक अलग समूह के रूप में ""असमिया मुसलमानों"" की पहचान करने के लिए एक अधिसूचना पारित की जाए।  असम सरकार ने पिछले साल मुस्लिम बुद्धिजीवियों के साथ चर्चा के बाद आठ उप-समितियां बनाने का फैसला किया है जो अगले पांच वर्षों में समुदाय के समग्र विकास के लिए एक रोडमैप तैयार करेगी। यह भी पढ़े : बिहार में किसी बड़े राजनीतिक उलटफेर की आहट, राबड़ी देवी की इफ्तार पार्टी में पहुंचे CM Nitish समितियों ने गुरुवार को अपनी रिपोर्ट मुख्यमंत्री हिमंत बिस्वा सरमा को सौंपी जिन्होंने कहा कि सरकार ने समिति द्वारा रखी गई स्वदेशी या असमिया मुस्लिम की परिभाषा को स्वीकार कर लिया है। स्वदेशी या असमिया मुस्लिम की परिभाषा को सामने रखा जाना स्वीकार्य है। एक बार जब हमने स्वीकार कर लिया कि हमारे पास एक लक्षित समूह है। समितियों द्वारा रखी गई अनुशंसा को किया जा सकता है। कुछ को वित्तीय सहायता के अलावा विधायी और कार्यकारी उपायों की आवश्यकता हो सकती है, 'सरमा ने कहा। यह भी पढ़े : Shani Dev Aarti: शनिवार को इस आरती से प्रसन्न होते हैं शनि देव, वैशाख मास में शनि देव की पूजा का विशेष महत्व समिति ने पहचान पत्र या प्रमाणपत्र जारी करने के साथ-साथ असमिया मुस्लिम समुदाय की ""पहचान और दस्तावेज"" के लिए जनगणना करने का भी सुझाव दिया है। तीन मुख्य समूह हैं- गोरिया, मोरिया और स्वदेशी असमिया मुस्लिम समुदाय के देशी लोग । जबकि देशी 13 वीं शताब्दी के स्वदेशी समुदायों जैसे कोच राजबोंगशी और मेच से धर्मान्तरित हैं। गोरिया और मोरिया धर्मान्तरित लोगों के साथ-साथ सैनिकों, कारीगरों आदि के लिए अपने वंश का पता लगाते हैं जो अहोम शासन के दौरान इस क्षेत्र में आए थे। ये समूह खुद को बंगाली भाषी मुसलमानों से अलग मानते हैं जो पूर्वी बंगाल से चले गए थे। पहचान के अलावा रिपोर्ट ने समूह के लिए अधिक राजनीतिक प्रतिनिधित्व की भी बात की। इसने संसद और असम विधानसभा में असमिया मुसलमानों का प्रतिनिधित्व प्रदान करने के लिए संविधान के अनुच्छेद 333 के समान प्रावधान का आह्वान किया। यह भी पढ़े : Kalashtami : आज भैरव बाबा को प्रसन्न करने के लिए करें ये छोटा सा उपाय, सभी मनोकामनाएं पूरी होंगी भारतीय संविधान के अनुच्छेद 169 के अनुसार असम में एक उच्च सदन (विधान परिषद) बनाया जा सकता है। एक बार विधान परिषद के गठन के बाद, इस परिषद में असमिया मुस्लिम समुदाय के लिए एक विशिष्ट संख्या में सीटें आरक्षित की जा सकती हैं। रिपोर्ट में शिक्षा, राजनीतिक प्रतिनिधित्व, स्वास्थ्य, कौशल विकास और महिला सशक्तिकरण से संबंधित मामलों पर भी सुझाव दिए गए हैं।",politics
"देहरादून पहुंचेंगे बीजेपी संगठन महामंत्री बीएल संतोष, धामी कैबिनेट के मंत्रियों से पूछेंगे विभागों का अगले एक साल का प्लान",उत्तराखंड की भारतीय जनता पार्टी (BJP) की सरकार के कामकाज की परख के लिए पार्टी के राष्ट्रीय महामंत्री संगठन बीएल संतोष ( National General Secretary BL Santosh) आज अपने दो दिवसीय दौरे पर देहरादून पहुंच रहे हैं. बताया जा रहा है कि बीएल संतोष मुख्यमंत्री पुष्कर सिंह धामी कैबिनेट के मंत्रियों से उनके विभाग के अगले एक साल का प्लान पूछेंगे और विभागों से जुड़े मुद्दों पर चर्चा करेंगे. इसके साथ ही बीएल संतोष मंत्रियों को अगले एक साल का लक्ष्य देंगे. वह इसके साथ ही राज्य में होने वाले उपचुनाव के लिए भी रणनीति तैयार करेंगे. जानकारी के मुताबिक राष्ट्रीय महासचिव बीएल संतोष शनिवार शाम बलवीर रोड स्थित पार्टी मुख्यालय पहुंचेंगे और कैबिनेट मंत्रियों और विधानसभा चुनाव में हारे उम्मीदवारों के साथ अलग-अलग बैठक करेंगे. मीडिया रिपोर्ट के मुताबिक मंत्रियों के साथ बैठक में एक साल की कार्ययोजना पर चर्चा की जाएगी और उनसे प्लान भी पूछा जाएगा. असल में विधानसभा चुनाव से पहले भाजपा ने घोषणा पत्र में वादे किए थे और इन वादों को विभिन्न विभागों को पूरा करना करना है. लिहाजा विभागों के मंत्रियों ने इस वादों को लेकर भी बातचीत की जाएगी और उनका प्लान पूछा जाएगा. 2024 में होने हैं लोकसभा चुनाव राज्य में सीएम पुष्कर सिंह धामी को उपचुनाव लड़ना है. हालांकि अभी पार्टी ने सीएम पुष्कर सिंह धामी को चंपावत सीट पर प्रत्याशी घोषित नहीं किया है. लेकिन माना जा रहा है कि पार्टी जल्द ही इसका ऐलान कर सकती है. इसके बाद लोकसभा चुनाव साल 2024 में प्रस्तावित हैं. लिहाजा भाजपा अपने घोषणा पत्र के वादों को उत्तर प्रदेश की तर्ज पर उत्तराखंड में भी अगले दो साल में पूरा करना चाहती है. ताकि राज्य की सभी पांच लोकसभा सीटों पर जीत दर्ज की जा सके. विधानसभा चुनाव में हारी 23 सीटों पर भी होगा मंथन पार्टी के राष्ट्रीय महामंत्री राज्य के विधानसभा चुनाव में हारी हुई 23 सीटों पर भी चर्चा करेंगे. वह इन सीटों पर पार्टी द्वारा घोषित उम्मीदवारों से बैठक करेंगे और उनसे हार के कारणों का जानेंगे. क्योंकि पार्टी हाईकमान को रिपोर्ट मिली है कि राज्य में कई सीटों पर भीतरघात हुआ था और इसके कारण पार्टी को हार का सामना करना पड़ा है.,politics
उच्च जातियां 'सवर्ण' हैं या 'सामान्य वर्ग'? हिमाचल प्रदेश में आंदोलन के बीच BJP ने क्या रुख अपनाया,"नई दिल्ली: 'सवर्ण' (उच्च जाति) और 'सामान्य वर्ग' (जनरल कैटेगरी) शब्दों को लेकर छिड़ी बहस ने हिमाचल प्रदेश में सत्तारूढ़ भाजपा सरकार को मुश्किल में डाल दिया है, खासकर ऐसे समय में जब इस साल के अंत में विधानसभा चुनाव होने वाले हैं.  उच्च जाति की आबादी वाला तबका और साथ ही पार्टी में उनका प्रतिनिधित्व करने वाले नेता इस वर्ग की शिकायतें दूर करने के लिए बनाए जा रहे पैनल के लिए 'सवर्ण आयोग' शब्द के इस्तेमाल के लिए आंदोलन कर रहे हैं, वहीं पार्टी इसके बजाये इसका नाम 'सामान्य वर्ग आयोग' रखने के अपने फैसले पर अडिग है, ताकि दलित और ओबीसी मतदाता अलग-थलग न हो जाएं. भाजपा सूत्रों ने बताया कि इस सप्ताह के शुरू में शिमला में बंद कमरे में हुई एक बैठक में पार्टी के अनुसूचित जाति (एससी) मोर्चा के नेताओं ने राष्ट्रीय महासचिव (संगठन) बी.एल. संतोष को बताया कि अगर सवर्ण शब्द का इस्तेमाल किया गया तो राज्य में दलित वोट बैंक प्रभावित हो सकता है. 2011 की जनगणना के मुताबिक, हिमाचल प्रदेश की आबादी में दलितों की संख्या लगभग 25 प्रतिशत है. संतोष ने इस प्रतिक्रिया को गंभीरता से लिया. इस पर जोर देते हुए कि भाजपा और आरएसएस सबके कल्याण के लिए काम करते हैं, उन्होंने हिमाचल प्रदेश में पार्टी के सदस्यों से कहा कि वे सामान्य तौर पर 'सवर्ण' शब्द के इस्तेमाल से परहेज करें और 'सामान्य' पर ही टिके रहें, ताकि जाति-आधारित भेदभाव जैसी बात न उठे और इसका दलित और ओबीसी समुदायों के बीच कोई 'गलत' संदेश न जाए. भाजपा के एक पदाधिकारी ने दिप्रिंट को बताया कि इस पर बात तब शुरू हुई जब संतोष ने राज्य के अनुसूचित जाति मोर्चा प्रमुख नितिन कुमार से पूछा कि क्या वह आरएसएस में अपने समकक्ष के साथ समुदाय के मुद्दों पर नियमित चर्चा करते हैं. इस पर, नितिन कुमार ने कथित तौर पर जवाब दिया कि उन्होंने उन्हें बताया था कि 'सवर्ण' शब्द का उपयोग अनुसूचित जाति समुदाय को आहत करने वाला है और इसका इस्तेमाल उच्च जातियों को अनुचित रूप से प्रमुखता देता है. भाजपा पदाधिकारी ने बताया कि संतोष ने तब कहा कि सार्वजनिक सभाओं और बातचीत के दौरान कभी भी इस शब्द का इस्तेमाल नहीं किया जाना चाहिए. उद्धव ठाकरे के नेतृत्व में नरम पड़ी शिवसेना क्यों अपने मूल आक्रामक तेवर की ओर जा रही है शब्दावली को लेकर लंबे समय से जारी खींचतान पिछले साल, ओबीसी विधेयक पारित होने के तुरंत बाद कुछ राज्यों में उच्च जातियों के कल्याण के लिए 'सवर्ण आयोग' के गठन की मांग को लेकर आंदोलन हुए थे. हिमाचल में भी दिसंबर 2021 में इस मुद्दे पर जमकर विरोध प्रदर्शन हुए, जिसके बाद मुख्यमंत्री जयराम ठाकुर ने विधानसभा के शीतकालीन सत्र में घोषणा की कि उच्च जातियों के लिए एक आयोग का गठन किया जाएगा. फरवरी में, राज्य सरकार ने इस वर्ग की जरूरतें पूरी करने और शिकायतों को दूर करने के लिए एक आयोग के गठन की अधिसूचना जारी की. हालांकि, इस खबर को लेकर विरोध और ज्यादा तेज हो गया, कुछ तो इस आयोग का नाम 'सामान्य वर्ग आयोग' रखे जाने के कारण और कुछ अधिसूचना की प्रकृति के कारण. 10 मार्च को शिमला में उच्च जाति समूहों के प्रदर्शनकारियों ने स्थानीय प्रशासन पर पथराव किया और मांग की कि आयोग को एक अधिसूचना के बजाये अधिनियम के जरिये गठित किया जाना चाहिए और इसे 'सामान्य वर्ग' जैसे अधिक अस्पष्ट शब्द के बजाये 'सवर्ण' नाम से संदर्भित किया जाना चाहिए. उच्च जाति समूहों की मांग थी कि आयोग को एससी/एसटी अधिनियम का दुरुपयोग रोकना चाहिए. गौरतलब है कि भाजपा शासित राज्य मध्य प्रदेश में भी पिछले साल विरोध के बाद उच्च जातियों के लिए एक आयोग का गठन किया गया लेकिन इसका नाम 'सवर्ण आयोग' ही रखा गया है. गुमनाम रहने वाला जेहादी फाइनांसर अब भारत में भर्ती के लिए सोशल मीडिया का कर रहा इस्तेमाल हिमाचल में क्या है जाति समीकरण हिमाचल प्रदेश में उच्च जातियों को बोलबाला है, जहां राजपूतों (लगभग 32 प्रतिशत) और ब्राह्मणों (18 प्रतिशत) को मिलाकर कुल आबादी में उनकी हिस्सेदारी लगभग 50 प्रतिशत है. एससी आबादी 25 फीसदी, एसटी 6 फीसदी और ओबीसी 13 फीसदी है. राज्य में उच्च जातियां भाजपा की पारंपरिक मतदाता रही हैं लेकिन आगामी विधानसभा चुनाव में पार्टी दलित वोट-बैंक पर अधिक जोर दे रही है. इसकी एक बड़ी वजह 2017 के विधानसभा चुनाव में पार्टी का प्रदर्शन है. 68 सीटों वाली हिमाचल प्रदेश विधानसभा में एससी के लिए आरक्षित 17 सीटों में से भाजपा ने 13 सीटें जीती थीं. हालांकि, यह वोट-बैंक फिलहाल उच्च जातियों के आंदोलन और आयोग के गठन को लेकर असहज है और भाजपा स्पष्ट तौर पर इसे साधने की कोशिशों में जुटी है. उदाहरण के तौर पर पार्टी ने राज्य की एकमात्र राज्य सभा सीट के लिए दलित विद्वान डॉ. सिकंदर कुमार को नामित किया और उन्हें पिछले महीने निर्विरोध चुन भी लिया गया. गौरतलब है कि राज्य के पार्टी प्रमुख सुरेश कश्यप भी एक प्रमुख दलित नेता हैं और स्वास्थ्य एवं परिवार कल्याण मंत्री राजीव सैजल भी इसी वर्ग से आते हैं. दिल्ली सरकार ने स्कूलों के लिए नई SOP जारी की- जांच से लेकर क्वारंटाइन रूम तक की व्यवस्था जरूरी चुनाव की तैयारी हिमाचल में भाजपा सरकार के सत्तासीन होने के मद्देनजर भी पार्टी का केंद्रीय नेतृत्व इस बार चुनाव में पहाड़ी राज्य की ओर काफी ध्यान दे रहा है. इस सप्ताह हिमाचल के दौरे पर पहुंचे बी.एल. संतोष ने चुनावी तैयारियों की समीक्षा के लिए राज्य के शीर्ष नेताओं के साथ बैठक की. राज्य के नेताओं के साथ अपनी बातचीत में संतोष ने मतदाताओं और सरकारी योजनाओं के लाभार्थियों के घरों में जाकर व्यक्तिगत स्तर पर उनकी प्रतिक्रिया जानने और उनके बीच पैठ बढ़ाने की जरूरत पर बल दिया. हिमाचल प्रदेश में भाजपा के ओबीसी मोर्चा के प्रमुख ओम प्रकाश चौधरी ने दिप्रिंट को बताया, 'उनका संदेश स्पष्ट था-बूथ बैठक और सम्मेलन करना सामान्य संगठनात्मक कार्य हैं लेकिन उनसे वास्तविक तस्वीर सामने नहीं आएगी क्योंकि पार्टी कार्यकर्ता आमतौर पर केवल अच्छी बातें ही कहेंगे. आपको कमियों सहित वास्तविक तस्वीर तभी मिलती है, जब आप प्रमुख मतदाताओं और लाभार्थियों के घरों में जाते हैं और उनसे उनकी समस्याओं के बारे में जानते हैं.' चौधरी के मुताबिक, संतोष ने पार्टी की हर विंग के लिए एक महीने में एक लाख लाभार्थियों के घरों तक पहुंचने का लक्ष्य रखा है. पिछले हफ्ते, भाजपा अध्यक्ष जेपी नड्डा ने भी पार्टी नेतृत्व के साथ बैठक के लिए अपने गृह राज्य हिमाचल प्रदेश का दौरा किया था. उन्होंने इस शुक्रवार को कांगड़ा जिले में रोड शो भी किया. (इस खबर को अंग्रेज़ी में पढ़ने के लिए यहां क्लिक करें) BJP शासन में हाशिए पर पहुंचा मुस्लिम समुदाय, इसमें दलितों और OBCs के लिए संदेश छिपा है",politics
"हार्दिक पटेल को लेकर आया कमलनाथ का बड़ा बयान, बोले- हमें समझाने की करनी चाहिए कोशिश","इंदौर, 23 अप्रैल: गुजरात कांग्रेस के कार्यकारी अध्यक्ष हार्दिक पटेल के बगावती तेवर के बाद पूर्व मुख्यमंत्री कमलनाथ का बड़ा बयान आया है, जिसमें कमलनाथ ने कहा कि, यह गुजरात कांग्रेस का अंदरूनी मामला है. यह भी कंपटीशन होता है हर पार्टी में, हमारे यहां से भी कई छोड़कर गए, अभी उत्तर प्रदेश के चुनाव में वह कहां है. यह हमेशा होता है, और गुजरात की अंदरूनी राजनीति मैं ज्यादा नहीं जानता, मैं गुजरात का इंचार्ज भी रहा हूं, जब मैं कांग्रेस का महामंत्री था. वहां राजनीतिक जागरूकता है. यह समझ जाते हैं, क्या सही है, क्या सही नहीं है. हार्दिक पटेल जन्म से तो कांग्रेस में थे नहीं, अब उनकी अंदरूनी अगर कोई ऐसी राजनीति है, तो हमें प्रयास करना चाहिए कि हम हार्दिक पटेल को समझाएं. उधर, हार्दिक बोले - मैं पार्टी नहीं छोड़ रहा गुजरात कांग्रेस के कार्यकारी अध्यक्ष हार्दिक पटेल ने कहा है कि, वह पार्टी नहीं छोड़ रहे हैं, और ना ही किसी दूसरे राजनीतिक दल में शामिल होने जा रहे हैं. साथ ही उन्होंने कहा कि, मेरी नाराजगी राहुल गांधी से नहीं है, ना ही मैं पार्टी छोड़कर कहीं जा रहा हूं. कुलमिलाकर, देखा जाए तो गुजरात में सियासत का सिलसिला तेज है, जहां कांग्रेस के खेमे में खलबली मची हुई है. बदले-बदले नजर आ रहे हार्दिक पटेल गुजरात की सियासत में इन दिनों कांग्रेस के कार्यकारी प्रदेश अध्यक्ष हार्दिक पटेल चर्चा का विषय बने हुए हैं, जहां हार्दिक पटेल की बयानबाजी के चलते सियासी हलचल थमने का नाम नहीं ले रही. वहीं गुजरात की ये सियासत आने वाले दिनों में किस ओर करवट लेगी, ये वक्त बताएगा. हाल ही में मध्यप्रदेश के अलीराजपुर भी आए थे हार्दिक पटेल गुजरात कांग्रेस के कार्यकारी अध्यक्ष हार्दिक पटेल हाल ही में मध्यप्रदेश के अलीराजपुर आए थे, जहां उन्होंने विभिन्न कार्यक्रमों में हिस्सा लेने के साथ ही कांग्रेस कार्यकर्ताओं से मुलाकात भी की थी. कमलनाथ ने प्रशांत किशोर को लेकर कह दी ये बड़ी बात, कांग्रेस में मची खलबली! source: oneindia.com",politics
"jharkhand Panchayat Chunav 2022: कोई मां, कोई पत्नी तो कोई प्रेमिका पर खेल रहा दांव!","jharkhand Panchayat Chunav 2022: गुमला प्रखंड के मध्य क्षेत्र में जिला परिषद का चुनाव दिलचस्प व रोचक होनेवाला है. इस बार मध्य क्षेत्र महिला सीट है. अनारक्षित है. कोई भी महिला मध्य क्षेत्र से चुनाव लड़ सकती है. पूर्व में यह सीट पुरुष के लिए थी. करौंदी निवासी कृष्ण देव सिंह उर्फ केडी सिंह ने इस सीट से चुनाव जीत जिला परिषद के उपाध्यक्ष की कुर्सी पर काबिज हुए थे. परंतु इस बार यह सीट महिला के लिए आरक्षित है. इसलिए चुनाव की तैयारी में वर्षों से लगे कई पुरुष उम्मीदवारों को झटका लगा है. कई कद्दावर नेता भी चुनाव की तैयारी में थे. भाजपा व झामुमो के बड़े नेता भी चुनाव की तैयारी किये थे. परंतु महिला सीट होने से पुरुष उम्मीदवारों को झटका लगा है. वहीं राजनीति में अपनी साख बचाये रखने के लिए इस सीट से कोई अपनी मां, तो कोई अपनी पत्नी को चुनाव मैदान में उतार रहा है. एक-दो युवा उम्मीदवार ऐसे भी हैं, जो अपनी प्रेमिका को चुनाव मैदान में उतारने की तैयारी कर रहे हैं. एक पूर्व प्रतिनिधि ने तो अपनी मां के लिए नामांकन पत्र भी खरीद लिया है. वह शुभ मुहूर्त पर नामांकन करने की तैयारी में हैं. जबकि झामुमो के एक बड़े नेता ने अपनी पत्नी के लिए शुक्रवार को नामांकन पत्र खरीदा है. वह भी शुभ मुहूर्त पर गाजे-बाजे के साथ अपनी पत्नी को लेकर नामांकन कराने की तैयारी में जुट गया है. यहां बता दें कि मध्य क्षेत्र की सीट शुरू से ही रोचक रही है. क्योंकि इस सीट पर सभी जाति व धर्म के वोटर हैं. इसलिए इस सीट पर बीते साल कांटे की टक्कर हुई थी. इस बार भी कांटे की टक्कर होने की उम्मीद है. क्योंकि कई बड़े नेता अपनी पत्नी व मां को चुनाव मैदान में उतार कर चुनाव को रोमांचक करने जा रहे हैं. एक नेता ने कहा कि बीते बार थोड़ी से चूक के कारण मैं हार गया था. इस बार महिला सीट हो गयी. इसलिए मैं चुनाव नहीं लड़ रहा हूं. परंतु चुनाव लड़ने का जज्बा अभी भी है. इसलिए चुनाव मैदान में मैं अपनी पत्नी को उतार रहा हूं. चेहरा पत्नी का होगा. परंतु चुनाव मैं लड़ूंगा. इधर, मध्य क्षेत्र की सीट के लिए अंदर ही अंदर सेटिंग गेटिंग शुरू हो गयी है. कुछ उम्मीदवार चुनाव जीतने के लिए दूसरे उम्मीदवार से चुनाव नहीं लड़ने की अपील कर रहे हैं. बहरहाल अभी जिला परिषद के लिए नामांकन शुरू हो गया है. परंतु मध्य क्षेत्र के लिए एक भी उम्मीदवार ने अभी तक नामांकन नहीं किया है. सभी उम्मीदवार सोमवार व मंगलवार को नामांकन कराने की तैयारी में हैं. Posted by: Pritish Sahay",politics
"मुस्लिमों के निशाने पर अखिलेश, विरोध प्रदर्शन कर लोगों ने कहा- नई सपा हुई हवा","बदायूं. उत्तर प्रदेश के बदायूं जिले के सैदपुर कस्बे में इन दिनों मुस्लिम समाज के लोग समाजवादी पार्टी से नाराज नजर आ रहे हैं. जुमे की नमाज के बाद मुस्लिम समाज के लोगों ने सपा के विरोध में प्रदर्शन किया और नारेबाजी भी की उनका कहना था कि भारतीय जनता पार्टी और समाजवादी पार्टी एक ही सिक्के के दो पहलू हैं. मुस्लिमों का सपा के खिलाफ यह प्रदर्शन इलाके में चर्चा का विषय बना हुआ है. बता दें कि सैदपुर बिसौली विधानसभा क्षेत्र में आता है और 2022 विधानसभा चुनाव में यहां से समाजवादी पार्टी के प्रत्याशी विधानसभा चुनाव जीते हैं. दरअसल, जिले के सैदपुर कस्बे में शुक्रवार को जुमे की नमाज के बाद मुस्लिम समाज के कई लोगों ने समाजवादी पार्टी के विरोध में प्रदर्शन किया और नारेबाजी की इस दौरान उनके निशाने पर सपा मुखिया अखिलेश यादव थे. मुस्लिम नेता अनवर खान के नेतृत्व में मुस्लिम समाज के लोगों ने यह प्रदर्शन किया इनके हाथों में नई सपा हुई हवा लिखी हुई बैनर थे. उनका कहना है कि समाजवादी पार्टी मुसलमानों का वोट तो ले लेती है, लेकिन उनके ऊपर जब कोई समस्या आती है तो सपा के नेता मौन साध जाते हैं. इसके चलते मुसलमानों को नई सपा से सावधान रहने की जरूरत है. मुस्लिम नेता अनवर अली खान का कहना है कि आजम खान और शहजिल इस्लाम का उत्पीड़न समाजवादी पार्टी के नेता चुपचाप देखते रहे और उनके उत्पीड़न के खिलाफ किसी ने भी उनका साथ नहीं दिया. साथ ही आजम खान की पार्टी में लगातार अनदेखी की जा रही है. जिसकी वजह से आजम खान इतने लंबे समय से जेल में बंद है. प्रदर्शन में शामिल होने वाले मुस्लिमों का कहना था कि मुस्लिमों की सुनवाई कहीं नहीं हो रही है. लगातार उनका उत्पीड़न किया जा रहा है. समाजवादी पार्टी के नेता यह सब मूकदर्शक बने देख रहे हैं और इसके खिलाफ आवाज नहीं उठाई जा रही है.",politics
