title,content,category
"DC vs RR Live: रोमांच और ड्रामे के बीच हारी दिल्ली, राजस्थान ने 15 रन से जीता मुकाबला", खास बातें ,sport
एसआरएफआई ने स्क्वाश विश्व युगल चैम्पियनशिप के स्वर्ण पदक विजेताओं को सम्मानित किया,"चेन्नई, 22 अप्रैल (भाषा) भारतीय स्क्वाश रैकेट्स महासंघ (एसआरएफआई) ने हाल में ग्लास्गो में विश्व युगल चैम्पियनशिप में दो स्वर्ण पदक जीतने वाली जोड़ियों को सम्मानित किया। दीपिका पल्लीकल और सौरव घोषाल जैसे स्टार खिलाड़ियों का मानना है कि यह देश के लिये यह इस विशेष वर्ष की शुरूआत हो सकती है।  इस साल राष्ट्रमंडल खेल और एशियाई खेल आयोजित होंगे और ग्लास्गो के प्रदर्शन से भारत की स्क्वाश में पदक उम्मीदें बढ़ गयी हैं।  पल्लीकल ने घोषाल के साथ मिश्रित युगल और जोशना चिनप्पा के साथ महिला युगल स्वर्ण पदक जीते थे।  सम्मान समारोह के बाद पल्लीकल ने कहा, ''ये दो हफ्ते अविश्वसनीय रहे। जीतने की उम्मीद नहीं थी। लेकिन हम जानते हैं कि बड़ा लक्ष्य अगले दो-तीन महीनों में है। ''  यह आर्टिकल पंजाब केसरी टीम द्वारा संपादित नहीं है, इसे एजेंसी फीड से ऑटो-अपलोड किया गया है।",sport
"इरफान पठान ने देश के हालातों पर किया ट्वीट, अमित मिश्रा ने कर दी बोलती बंद","स्पोर्ट्स डेस्क : भारतीय टीम के खिलाड़ी सोशल मीडिया पर अक्सर एक दूसरे की खिंचाई करते हैं। पर इस बार भारतीट टीम के दो दिग्गज गेंदबाज देश में चल रहे हालातों को लेकर आमने-सामने आ गए हैं और वह मीडिया की सुर्खियों में चर्चा का विषय बन गए हैं। दरअसल ऑलराउंडर इरफान पठान ने देश के हालातों पर ट्वीट किया है। जिस पर अमित मिश्रा ने उन्हें ऐसा जवाब दिया है। जिस कारण ये दो भारतीय खिलाड़ी आपस में भिड़ गए हैं। इरफान पठान ने ट्वीट करते हुए लिखा कि मेरा देश, मेरा खूबसूरत देश।इसके पास दुनिया का सबसे महान देश बनने की संभावना है, पर... इतना लिखकर इरफान पठान ने ट्वीट कर दिया। पठान का यह ट्वीट पढ़कर अमित मिश्रा खुद को रोक नहीं पाए और उन्होंने इसका जवाब दिया।",sport
"मेनोर्का इंटरनेशनल शतरंज - अर्जुन की लगातार दूसरी जीत, गुकेश विश्व टॉप 100 में पहुंचे","मेनोर्का,स्पेन ( निकलेश जैन ) भारत के चौंथे नंबर के खिलाड़ी 18 वर्षीय ग्रांड मास्टर अर्जुन एरिगासी को मेनोर्का इंटरनेशनल शतरंज में शीर्ष वरीयता दी गयी है और उन्होने शुरुआती दो राउंड जीतकर अच्छी शुरुआत भी कर ली है । अर्जुन नें पहले राउंड में मेजबान स्पेन के लुईस पाबलों और दूसरे राउंड में इज़राइल की अलीनसब मोबिना को पराजित किया । वैसे 1 मई को होने वाली आगामी शतरंज ओलंपियाड के लिए भारतीय टीम के चयन के ठीक पहले अधिकतर भारतीय खिलाड़ी अपनी विश्व रैंकिंग को सुधारने में लगे हुए है । अर्जुन के अलावा इस प्रतियोगिता में निहाल सरीन , डी गुकेश ,अधिबन भास्करन ,रौनक साधवानी ,एसपी सेथुरमन ,आर्यन चोपड़ा नें भी अपने पहले दोनों मुकाबलों की जीतकर अच्छी शुरुआत कर ली है । प्रतियोगिता में 25 देशो के 137 खिलाड़ी भाग ले रहे है । कुल 7 राउंड की इस प्रतियोगिता में 24 अप्रैल को आखिरी मुक़ाबला खेला जाएगा ।",sport
"ऋषभ पंत ने बताया क्यों हो गए थे आग-बबूला, इसे ठहराया गलती का जिम्मेदार","स्पोर्ट्स डेस्क : राजस्थान रॉयल्स ने दिल्ली कैपिटल्स को बड़े स्कोर वाले मैच में 15 रन से हरा दिया है। इस मैच में 223 रन का लक्ष्य का पीछा करने आई दिल्ली की टीम को आखिरी ओवर में 30 रन चाहिए थे। रोवमैन पॉवेल ने पहली तीन गेंदों पर 3 छक्के जड़ दिए। पर तीसरी गेंद पर मैच में बवाल पैदा हो गया जब अंपायर ने गेंद को नो बॉल करार नहीं दिया। जिस कारण दिल्ली के कप्तान ऋषभ पंत ने दोनों बल्लेबाजों को क्रीज छोड़कर वापिस ड्रेसिंग रूम में आने को कहा। पर समझाने के बाद दोबारा मैच शुरू हुआ।  मैच के बाद पंत ने कहा कि मैंने सोचा था कि नो बॉल हमारे लिए कीमती हो सकती थी लेकिन यह मेरे बस में नहीं है। हां, निराश हूं लेकिन इसके बारे में ज्यादा कुछ नहीं कर सकता। हर कोई निराश था (डगआउट में) कि यह करीब भी नहीं था, मैदान में सभी ने देखा। मुझे लगता है कि तीसरे अंपायर को हस्तक्षेप करना चाहिए था और इसे नो-बॉल करार देना चाहिए था। पंत ने आगे कहा कि जाहिर तौर पर यह सही नहीं था (आमरे को मैदान पर भेजना) लेकिन हमारे साथ जो हुआ वह भी सही नहीं है। यह उस समय गहमा-गहमी के कारण हुआ। यह दोनों पक्षों की गलती थी और यह निराशाजनक है क्योंकि हमने टूर्नामेंट में कुछ अच्छी अंपायरिंग देखी है। पंत ने कहा कि लक्ष्य के इतने करीब जाना निराशाजनक है। खासकर जब दूसरी टीम ने 200+ का स्कोर बनाया हो। मुझे लगता है कि हम और बेहतर गेंदबाजी कर सकते थे। मैं लोगों से कह सकता हूं कि अपने कंधे ऊपर करें और अगले मैच की तैयारी करें।",sport
"DC vs RR : 'नो बॉल' न देने पर गुस्साए Rishabh pant, बल्लेबाजों को दिया बुलाया- आ जाओ वापस","खेल डैस्क : आईपीएल में अपनी कप्तानी के लिए प्रशंसा बटोर रहे रिषभ पंत शुक्रवार को आपा खो बैठे। राजस्थान रॉयल्स के खिलाफ मुकाबले में दिल्ली की टीम 223 रन के लक्ष्य को हासिल नहीं कर पाई। दिल्ली जब लक्ष्य का पीछा कर रही थी तो आखिरी ओवर में उन्हें 36 रन चाहिए था। बल्लेबाज रोवमैन पॉवेल ने लगातार 3 छक्के लगाए लेकिन तभी रिषभ पंत गुस्से में देखे गए। डगआऊट में बैठे पंत तीसरे गेंद को अंपायर द्वारा नो न देने से नराज दिख रहे थे। कहा गया कि गेंद वेस्ट लाइन से ऊपर थी। जबकि अंपायर की गेंद को नो नहीं दिया। पंत इतने गुस्से में दिखे कि उन्होंने बल्लेबाजी कर रहे रोवमैन पॉवेल और कुलदीप यादव को वापस आने का ईशारा कर दिया। यह देखकर माहौल और गर्मा गया। पंत बार-बार बल्लेबाजों को ग्राऊंड से बाहर आने का ईशारा करते रहे। दोनों बल्लेबाजों जब वापस आ रहे थे तो अंपायरों ने उन्हें रोक दिया। पंत यहां भी नहीं माने। उन्होंने टीम के एक कोच प्रवीण आमरे को भी ग्राऊंड में अपनी बात रखने के लिए भेजा। इसी बीच राजस्थान के सलामी बल्लेबाज जोस बटलर जो पास ही फील्डिंग कर रहे थे, पंत के पास पहुंचे। दोनों में बातचीत हुई। जिसके बाद पंत मान गए। हालांकि मैच के बाद उन्होंने पूरे घटनाक्रम पर नाराजगी भी जताई। मैच की बात करें तो राजस्थान रॉयल्स ने पहले खेलते हुए जोस बटलर के 116, पडिक्कल के 54, संजू सैमसन के 46 रनों की बदौलत 222 रन बनाए थे। दिल्ली की ओर से खलील अहमद और मुस्तिफिजुर ही एक विकेट निकाल पाए थे। जवाब में खेलने उतरी दिल्ली टीम 207 रन ही बना पाई। दिल्ली को हालांकि आखिरी दो ओवरों तक 37 रन चाहिए थे लेकिन प्रसिद्ध कृष्णा ने 19वें ओवर में एक ही रन दिया। आखिरी ओवर में 36 रन चाहिए था जोकि कंट्रोवर्सी के बाद दिल्ली के बल्लेबाज बना नहीं सके।",sport
"छत्तीसगढ़ कांग्रेस प्रभारी पी.एल पुनिया का रायपुर दौरा, वरिष्ठ कांग्रेसियों से करेंगे मुलाकात","रायपुर: छ्त्तीसगढ़ कांग्रेस प्रभारी पीएल पुनिया 2 दिवसीय दौरे पर रायपुर पहुंच गए हैं। एयरपोर्ट पर मंत्री शिवकुमार डहरिया, प्रदेशाध्यक्ष मोहन मरकाम, विधायक विकास उपाध्याय के साथ वरिष्ठ कांग्रेसियों ने पहुंचते ही उनका स्वागत किया।  इस दौरान पीएल पुनिया ने कहा कि चुनाव नजदीक आ रहा है इसीलिए बैठकों का दौर और उसका महत्व भी ज्यादा होगा। आज और कल काफी मीटिंग रखी गई है। इसके साथ ही समीक्षा की जाएगी और कई विषयों पर चर्चा की जाएगी, साथ ही साथ वरिष्ठ कांग्रेसियों से भी मुलाकात करेंगे। केंद्रीय मंत्रियों के दौरे पर कहा पीएल पुनिया ने केंद्रीय मंत्रियों के दौरे का जिक्र करते हुए कहा कि छत्तीसगढ़ की समस्याओं का मंत्री कुछ हल निकालें ताकि उनके आने का भी कुछ मतलब निकाले। यहां की समस्याओं को समझें, उसके लिए कुछ काम करें, ताकि उनके दौरे से लाभ हो सकें। लेकिन केवल राजनीतिक दृष्टिकोण से आना और बयानबाजी करना तो इसका कोई मतलब नहीं है। छत्तीसगढ़ में कोयले की समस्या है, उसका हल निकालना चाहिए। छत्तीसगढ़ में भूपेश बघेल के नेतृत्व में सरकार शानदार काम कर रही है, किसान मजदूर पिछड़े वर्ग के लोग सभी लोगों के लिए काम किया जा रहा है और सभी लोग खुशहाल हैं। भाजपा के पास कोई मुद्दा नहीं है और सिर्फ इधर-उधर की बातें करते हैं जो किसी के समझ में नहीं आती है।",sport
खिताब के लिए आज भिड़ेंगी इंडियन एयरफोर्स और आर्मी इलेवन,"जागरण संवाददाता, चंडीगढ़ : मार्शल अर्जन सिंह मेमोरियल हॉकी टूर्नामेंट के रोमांचक सेमीफाइनल मुकाबले में इंडियन आर्मी इलेवन टीम ने इंडियन ऑयल कारर्पोशन की टीम को शूटआउट में 7-4 के अंतर से हराकर फाइनल में प्रवेश किया। सेक्टर-31 स्थित थ्री बीआरडी में आयोजित यह मैच इंडियन आर्मी इलेवन व इंडियन ऑयल कारर्पोशन के बीच 4-4 की बराबरी पर रहा। जिसके बाद मैच का फैसला शूटआउट पर चला गया। इंडियन आर्मी के मोहम्मद अलीशान (18वें मिनट), बृज इक्का (20वें मिनट में), सुखदीप सिंह (43वें मिनट में) व रजत (51वें मिनट में) ने एक-एक गोल किया। इंडियन ऑयल टीम की तरफ से रोशन (दूसरे मिनट में), तलविदर सिंह (सातवें मिनट में), अफान युसुफ (23वें मिनट में) व सुमित कुमार (55वें मिनट में) ने एक-एक गोल किया। शूटआउट में इंडियन आर्मी के जोबनप्रीत सिंह, रजत व सुखदीप सिंह ने एक-एक शूट दागे, जबकि इंडियन ऑयल की तरफ से कोई भी खिलाड़ी शूटआउट करने में सफल नहीं हुआ। टूर्नामेंट का फाइनल मैच शनिवार को आर्मी इलेवन और इंडियन एयरफोर्स के बीच में खेला जाएगा। दूसरे सेमीफाइनल में इंडियन एयरफोर्स ने रेल कोच फैक्टरी को 3-1 के अंतर से हराकर टूर्नामेंट के फाइनल में प्रवेश किया। इंडियन एयरफोर्स की टीम ने शुरुआत में ही पकड़ बना ली। मैच के 14वें मिनट में इंडियन एयरफोर्स के नितेश ने गोल कर टीम को 1-0 की बढ़त दिला दी। इसके बाद एयरफोर्स के सुखदेव सिंह ने मैच के 17वें मिनट में दूसरा गोल कर टीम को 2-0 की बढ़त दिलाने में सफल रहे। एयरफोर्स टीम की यह बढ़त लंच तक कायम रही। लंच के बाद मैदान में उतरे एयरफोर्स के खिलाड़ियों ने रेल फैक्ट्री टीम के खिलाड़ी पर पकड़ बनाए रखी और उन्हें गोल करने का मौका नहीं दिया। खेल के 47वें मिनट में एयरफोर्स के राहुल कुमार ने तीसरा गोल कर टीम को 3-0 की बढ़त दिला दी। इसके बाद खेल के अंतिम मिनट में रेल फैक्ट्री की तरफ से 58वें मिनट में अजमेर सिंह ने गोल कर टीम को 3-1 के अंतर पर पहुंचा दिया। इसके बाद एयरफोर्स टीम ने मैच जीत लिया।",sport
"Tata IPL 2022 Points Table: दिल्ली कैपिटल्स को हराकर टॉप पर पहुंची राजस्थान रॉयल्स, देखिए अंक तालिका में कौन सी टीम कहां, नेट रन रेट, पोजीशन और अन्य डिटेल्स","Tata IPL 2022 Points Table: आईपीएल 2022 में कुल 10 टीमें (IPL 2022 All Teams) आमने सामने हैं। इंडियन प्रीमियर लीग का ये 15वां सीजन है, और इस बार टीमों को 2 भागों में बांटा गया है। ग्रुप A और ग्रुप B में पांच पांच टीमें (IPL 2022 Groups) हैं। ग्रुप स्टेज में कुल 70 मैच खेले जाएंगे। यहां आपको हर मैच के बाद अंक तालिका में होने वाले बदलावों की जानकारी दी जाएगी। सभी टीमों द्वारा खेले गए मैच, उनके अंक और नेट रन रेट (IPL Net Run Rate Calculator) की जानकारी दी जाएगी। मैच नंबर 34 के बाद अंक तालिका की पोजीशन बदलाव - आरसीबी की जीत के बाद टीम 7 से छठे नंबर पर आ गई है, जबकि दिल्ली कैपिटल्स एक स्थान फिसलकर 7वें पर पहुंच गई है. Tata IPL 2022 Group Points Table, IPL Net Run Rate Calculator आईपीएल 2022 के सभी मैचों का शेड्यूल देखने के लिए यहां क्लिक करें",sport
"Asian Wrestling Championships: फाइनल में हार के बाद अंशु मलिक और राधिका को रजत, मनीषा ने जीता कांस्य",विस्तार भारतीय महिला पहलवान अंशु मलिक को एशियाई कुश्ती चैंपियनशिप के 57 भारवर्ग के फाइनल में हार के बाद रजत पदक से संतोष करना पड़ा। इसके अलावा 65 भारवर्ग में राधिका को भी रजत पदक मिला जबकि मनीषा ने 62 भारवर्ग में कांस्य पदक जीता।,sport
