title,content,category
"कर्नाटक: बोम्मई सरकार के मंत्री ईश्वरप्पा ने दिया इस्तीफा, ठेकेदार की मौत मामले में लग रहे आरोप","बेंगलुरू, 15 अप्रैल: कर्नाटक की राजनीति में शुक्रवार को एक बड़ा तूफान आया। ठेकेदार संतोष पाटिल की कथित आत्महत्या को लेकर उपजे विवाद के बीच कर्नाटक के मंत्री ईश्वरप्पा ने आज राज्य मंत्रिमंडल से इस्तीफा दे दिया। कर्नाटक के मंत्री केएस ईश्वरप्पा मुख्यमंत्री बसवराज बोम्मई के आवास पर पहुंच कर उन्‍हें इस्तीफा सौंप दिया है। कांग्रेस ने ये मुद्दा उठाकर कर्नाटक में भाजपा को बड़ी समस्‍या में डाल दिया है क्योंकि ठेकेदार एक प्रभावशाली लिंगायत जाति से है और लिंगायत समाज बीजेपी का समर्थन करता है। ऐसे में ईश्‍वरप्‍पा का इस्‍तीफा भाजपा आलाकमान का यह बड़ा डैमेज कंट्रोल कदम है़। यह कदम ईश्वरप्पा के कुरुबा के समर्थन आधार को जेकर बीजेपी के लिए मुश्किल खड़ी कर सकता है ओबीसी जाति से आते हैं। वहीं कांग्रेस नेता सिद्धरमैया कुरुबा जाति के एक बड़े नेता हैं, जिन्हें उनके बीच बड़ा समर्थन प्राप्त है। बोम्मई ईश्वरप्पा का मुकाबला करने के लिए पर्याप्त मजबूत नहीं है, इसलिए आलाकमान ने इस मामले में हस्तक्षेप किया है। बता दें चुनाव में कर्नाटक में विधानसभा चुनाव को बस एक साल बचे हैं वहीं मृतक ठेकेदार का परिवार ईश्वरप्पा की गिरफ्तारी चाहता है, यह पूरा मामला जल्‍द ही बड़े राजनीतिक मुद्दे में बदलता नजर आ रहा है। source: oneindia.com",politics
"Bihar Congress को मिलेगा नया सेनापति, कन्हैया कुमार के नाम पर भी हो सकती है चर्चा","बिहार कांग्रेस (Bihar Congress) अध्यक्ष मदन मोहन झा के इस्तीफे के बाद अब कांग्रेस में नए सेनापति की तलाश शुरू हो गई है। ऐसे में अध्यक्ष को लेकर चर्चा का बाजार भी गरम है।  इधर, कहा जा रहा है कि कांग्रेस इस दौर में ऐसे सेनापति को कमान सौंपने की तैयारी में है, जिससे सामाजिक समीकरण को भी साधा जाए और गठबंधन के इस दौर में हैसियत भी न घटे। वैसे माना यह भी जा रहा है कि कांग्रेस आलाकमान इस मुद्दे पर चौंकाने वाला फैसला भी ले सकते हैं। कांग्रेस अध्यक्ष को लेकर ऐसे तो कई नाम चर्चा में हैं, लेकिन कुछ नाम रेस में काफी आगे हैं। ऐसे में कन्हैया का चेहरा भी जाना पहचाना है। हालाकि सूत्रों का कहना कि कन्हैया का अध्यक्ष बनना इतना आसान नहीं है। कांग्रेस के वरिष्ठ नेता कन्हैया को स्वीकार करेंगे इसके आसार कम हैं। ऐसे में कन्हैया का अध्यक्ष बनना आसान नहीं है। सूत्र बताते हैं कि अध्यक्ष बनने की दौड़ में कुटुंबा विधायक विधायक राजेश राम, पूर्व सांसद रंजीता रंजन, राज्यसभा सांसद अखिलेश सिंह भी आगे हैं। वैसे, विजय शंकर दुबे भी इस रेस में बताए जा रहे हैं लेकिन इस बार भी ब्राह्मण अध्यक्ष बनें इसकी संभावना कम है। सूत्रों का कहना है कि कांग्रेस बिहार में सवर्णों की राजनीति करती रही है। ऐसे में कांग्रेस इस बार भी सवर्ण अध्यक्ष बनाकर सवर्णों को साधने की कोशिश करेगी। राज्यसभा सांसद अखिलेश सिंह और कन्हैया कुमार भूमिहार जाति से आते हैं। ऐसे में तर्क दिया जा रहा है कि सवर्ण अध्यक्ष के हटने के बाद कांग्रेस राजेश राम को भी अध्यक्ष बनाकर दलित मतदाताओं को साधने की कोशिश कर सकती है। वैसे, किसी भी नाम को लेकर कांग्रेस के अंदर फूट दिखाई दे रही है। किसी भी नाम पर ऐसा नहीं है कि कांग्रेस में नाराजगी देखने को नहीं मिले। वरिष्ठ कांग्रेस नेताओं का तर्क है कि बिहार कांग्रेस की कमान ऐसे नेता को दी जाए जो जनता की भी पसंद हो। बहरहाल, बिहार कांग्रेस अध्यक्ष को लेकर इतना तय है कि अध्यक्ष कोई भी बने, उसकी राह आसान नहीं रहने वाली है। अध्यक्ष बनते ही विरोधी खेमा तैयार हो जाएगा। ऐसे में माना जा रहा कांग्रेस आलाकमान द्वारा अध्यक्ष को लेकर लिया गया फैसला चौंकाने वाला भी हो सकता है।",politics
"'गुंडों, बलात्कारियों' की पार्टी है भाजपा : आप विधायक आतिशी","नयी दिल्ली, 15 अप्रैल (भाषा) आम आदमी पार्टी की नेता आतिशी ने शुक्रवार को भारतीय जनता पार्टी को 'गुंडों और बलात्कारियों' की पार्टी बताया। गौरतलब है कि मुख्यमंत्री अरविंद केजरीवाल के आवास पर हमला करने के आरोप में गिरफ्तार युवा मोर्चा के आठ कार्यकर्ताओं को भाजपा ने कल ही सम्मानित किया था।  यहां संवाददाता सम्मेलन को संबोधित करते हुए कालकाजी से आप विधायक आतिशी ने कहा कि इन आठ लोगों को माला पहनाकर और सम्मान देकर भाजपा ने अपना 'असली चेहरा' दिखाया है। भाजपा की दिल्ली इकाई के अध्यक्ष आदेश गुप्ता ने बृहस्पतिवार को भारतीय जनता युवा मोर्चा (बीजेवाईएम) के आठ कार्यकर्ताओं को पार्टी कार्यालय पर सम्मानित किया। ये कार्यकर्ता 30 मार्च को केजरीवाल के आवास पर कथित रूप से हमला करने के मामले में जेल में बंद थे और हाल ही में जमानत पर बाहर आए हैं। दिल्ली उच्च न्यायालय ने इस सप्ताह की शुरुआत में इन कार्यकर्ताओं को जमानत दे दी। आतिशी ने आरोप लगाया कि युवा मोर्चा के इन आठ कार्यकर्ताओं को सम्मानित करके भाजपा ने दिखा दिया है कि वह ''गुंडों, लुच्चों लफंगों का सम्मान करती है।'' विधायक ने कहा, ''ऐसा करके उन्होंने (भाजपा) देशभर के अपने कार्यकर्ताओं को संदेश दिया है कि पार्टी उन लोगों को बढ़ावा देगी जो तोड़फोड़ और छेड़खानी करेंगे।'' आतिशी ने कहा कि गुंडागर्दी और उसे बढ़ावा देना भाजपा के डीएनए में है। विधायक ने कहा, ''भाजपा अब भारतीय गुंडा पार्टी है। यह गुंडों, बलात्कारियों और छेड़खानी करने वालों की पार्टी है।'' आतिशी ने कहा कि भाजपा ऐसे नेताओं का सम्मान करती है, उन्हें बढ़ावा देती है और यहां तक कि सरकार में कैबिनेट मंत्री का पद देकर उनका सम्मान देती है। भाषा अर्पणा उमा उमा यह खबर ‘भाषा’ न्यूज़ एजेंसी से ‘ऑटो-फीड’ द्वारा ली गई है. इसके कंटेट के लिए दिप्रिंट जिम्मेदार नहीं है.",politics
CM नीतीश की इफ्तार पार्टी में शामिल होने पहुंचे कई बड़े नेता.. पक्ष के साथ विपक्ष का भी लगा जमावड़ा,"मुख्यमंत्री नीतीश कुमार ने (CM Nitish Kumar in Iftar Party) सीएम आवास पर इफ्तार पार्टी का आयोजन किया है. इस पार्टी में पक्ष विपक्ष के कई बड़े नेता शामिल होने पहुंचे हैं. पटना: सीएम नीतीश कुमार ने मुख्यमंत्री आवास एक अर्णे मार्ग पर इफ्तार पार्टी (iftar party at cm nitish kumar house) का आयोजन किया है. दो साल के बाद फिर से मुख्यमंत्री आवास पर इफ्तार पार्टी दी गई है. इस पार्टी में पक्ष विपक्ष के कई नेताओं को आमंत्रित किया गया है. मुस्लिम समाज के प्रमुख लोगों को भी इफ्तार पर दावत दी गई है. कई लोग सीएम की इस इफ्तार पार्टी में शामिल होने पहुंचे हैं. बीजेपी के प्रदेश अध्यक्ष संजय जायसवाल, पूर्व मुख्यमंत्री जीतन राम मांझी, उद्योग मंत्री शाहनवाज हुसैन, मंत्री नितिन नवीन सहित कई बडे़ नेता मुख्यमंत्री आवास में आयोजित इफ्तार पार्टी में शामिल होने पहुंचे. विपक्षी नेताओं में आरजेडी के पूर्व प्रदेश अध्यक्ष रामचंद्र पूर्वे और कांग्रेस के शकील अहमद खान भी सीएम आवास पहुंचे हैं. जदयू के कई मंत्री भी इस इफ्तार पार्टी में शामिल हैं. बीजेपी सांसद रामकृपाल यादव भी पार्टी में पहुंचे हैं. पढ़ें- सीएम नीतीश के आवास पर इफ्तार पार्टी आज, दावत में शामिल होंगे कई दिग्गज नेता ऐसी है सीएम की इफ्तार पार्टी: इफ्तार पार्टी में नॉनवेज और वेज दो तरह की व्यवस्था की गई है. इसके लिए विशेष रूप से कारीगरों को बुलाया गया है. 100 से अधिक कारीगरों ने इफ्तार के लिए शाकाहारी और मांसाहारी भोजन बनाया है. कदमकुंआ से कारीगरों की टीम को बुलाया गया. वहीं पंडाल की विशेष व्यवस्था की गई है और उसके लिए भी 80 लोगों की टीम ने सीएम हाउस में काम किया. सुरक्षा के पुख्ता इंतजाम: इफ्तार में आने वाले लोगों को सुरक्षा की पूरी जांच पड़ताल के बाद ही सीएम आवास में एंट्री दी जा रही है. 2 साल से लगातार कोरोना के कारण मुख्यमंत्री आवास में इफ्तार पार्टी का आयोजन नहीं हो रहा था. लेकिन इस साल कोरोना नियंत्रण में है और उसके बाद ही मुख्यमंत्री ने इफ्तार पार्टी आयोजन का फैसला लिया. मुख्यमंत्री खुद पूरे आयोजन की निगरानी करते हैं. बिहार के मुख्य सचिव आमिर सुबहानी (Bihar Chief Secretary Amir Subhani) शुरू से इस आयोजन में महत्वपूर्ण भूमिका निभाते रहे हैं. मुख्यमंत्री आमिर सुबहानी को ही इसकी जिम्मेदारी देते हैं. जमा खान की इफ्तार पार्टी में शामिल हुए सीएम: बता दें कि, बिहार सरकार में अल्पसंख्यक कल्याण मंत्री जमा खान ने 7 अप्रैल को अपने सरकारी आवास पर इफ्तार पार्टी (Minister Jama Khan Iftar party in Patna) का आयोजन किया. जिसमें मुख्यमंत्री नीतीश कुमार सहित अन्य लोग शामिल हुए. इफ्तार पार्टी में बौद्ध भिक्षु भी शामिल रहे और उन्होंने सीएम को भगवान बुद्ध की तस्वीर भेंट कर स्वागत किया. वहीं, अल्पसंख्यक कल्याण मंत्री जमा खान के आवास पर इफ्तार के बाद रोजे की नमाज अदा की गई. 3 अप्रैल से शुरू हुआ है पाक महीनाः आपको बता दें कि रमजान का पाक महीना 3 अप्रैल से शुरू हुआ है. शनिवार 2 अप्रैल को चांद देखे जाने के बाद रविवार से रोजा रखने का ऐलान किया गया था. उसके बाद सियासी गलियारों में इफ्तार की दावत शुरू हो गई. पहले तो उद्योग मंत्री शाहनवाज हुसैन सुपौल में इफ्तार में शरीक हुए. उसके बाद अल्पसंख्यक कल्याण मंत्री जमा खान के आवास पर इफ्तार पार्टी रखी गई. इसमें सीएम नीतीश कुमार भी शरीक हुए थे. पढ़ें- उद्योग मंत्री शाहनवाज हुसैन ने खोला पहला रोजा, मांगी दुआ- सबका रोजा कबूल हो",politics
आंबेडकर जयंती पर बाबा साहेब बनाम बुलडोज़र और संविधान को लेकर बेरुखी,"दिप्रिंट के संपादकों द्वारा चयनित कार्टून पहले अन्य प्रकाशनों में प्रकाशित किए जा चुके हैं. जैसे- प्रिंट मीडिया, ऑनलाइन या फिर सोशल मीडिया पर. आज के फीचर कार्टून में आर प्रसाद ने दिल्ली पुलिस के उस हलफनामे पर निशाना साधा जिसमें उसने सुप्रीम कोर्ट में बताया कि 19 दिसंबर 2021 को राजधानी में हुई धर्म संसद में मुस्लिम समुदाय के खिलाफ कोई बयान नहीं दिया गया.  मध्य प्रदेश के खरगोन में अवैध घरों को बुलडोज़र से तोड़ने पर तंज कर रहे हैं मंजुल. वो कह रहे हैं कि ऐसा करना संविधान के मूल्यों के खिलाफ है. संदीप अध्वर्यू दिल्ली हाई कोर्ट के पिछले महीने के उस फैसले पर निशाना साध रहे हैं जिसमें कहा गया था कि अगर चेहरे पर हंसी के साथ कुछ कहा जाए तो उसे अपराध नहीं माना जा सकता. कीर्तीश भट्ट भारतीय राजनेताओं पर तंज कस रहे हैं जो आंबेडकर की विरासत का तो जश्न मना रहे हैं लेकिन उनके द्वारा भारतीय संविधान में लिखे गए मूल्यों पर बिल्कुल ध्यान नहीं देते हैं. महाराष्ट्र में बिजली खपत ज्यादा होने के कारण पैदा हुए संकट को चित्रित कर रहे हैं आलोक निरंतर. वहीं शिवसेना सांसद संजय राउत की संपत्ति पर ईडी की कार्रवाई पर निशाना साध रहे हैं. भारत के 13 पूर्व प्रधानमंत्रियों के कार्यकाल के दौरान की उपलब्धियों और विवादों को पेश करते प्रधानमंत्री संग्रहालय पर निशाना साध रहे हैं सतीश आचार्य. (इन कार्टून्स को अंग्रेज़ी में देखने के लिए यहां क्लिक करें)",politics
विपक्षियों को उनकी भाषा में जवाब देगी योगी सरकार,"विपक्षियों को उनकी भाषा में जवाब देगी योगी सरकार संवाद सहयोगी, बिधूना (औरैया): विधानसभा चुनाव के दौरान विपक्षी कहते थे कि सन्यासी को मठ भेजने का समय आ गया है। उन्हें इसका जवाब प्रचंड बहुमत से योगी सरकार दोबारा बनाकर लोकतंत्र ने दिया है। अब मुख्यमंत्री लट्ठ बजाने का काम करेंगे। विपक्षियों को उनकी भाषा में ही जवाब मिलेगा, जो शुरू भी चुका है। शुक्रवार को बिधूना के रामलीला मैदान में आयोजित भारतीय जनता पार्टी के 42वें स्थापना दिवस पर आयोजित कार्यक्रम में यह बातें सपा के संरक्षक मुलायम सिंह यादव की छोटी बहू व भाजपा नेता अपर्णा यादव ने कही। उन्होंने कहा कि मैं यादव कुल की बहू हूं। मैंने परिवार नहीं छोड़ा है सिर्फ राष्ट्रवाद के लिए पार्टी छोड़ी है। स्थापना दिवस पर रामलीला मैदान में एक कार्यक्रम आयोजित किया गया था। मुख्य अतिथि बतौर भाजपा नेता अपर्णा यादव व कन्नौज से भाजपा सांसद सुब्रत पाठक मौजूद थे। अपर्णा ने मंच संभालते ही कार्यकर्ताओं व समर्थकों को संबोधित करते हुए कहा कि भाजपा सरकार ने जो काम किया और जो कर रही है, वह कोई नहीं कर सकता। विपक्षियों के मंसूबों को जनता समझ चुकी है। इसलिए विधानसभा में भारी मतों से योगी जी को दोबारा मुख्यमंत्री की कुर्सी दी। उन्होंने विपक्ष पर शब्दों से प्रहार करते हुए कहा कि योगी सरकार की नीतियों से जनता खुश है। जनकल्याणकारी योजनाओं का लाभ हर किसी को मिला। भू-माफिया व शांति व्यवस्था को बिगाड़ने वालों पर कार्रवाई की जा रही है। बेटियों व महिलाओं को सुरक्षा, शिक्षा के अलावा हर क्षेत्र में सरकार के कार्य सराहनीय हैं। इस दौरान भाजपा नेता व पूर्व मुख्यमंत्री मुलायम सिंह यादव के साढ़ू प्रमोद गुप्ता एलएस, जिलाध्यक्ष श्रीराम मिश्रा, सांसद प्रतिनिधि रिया शाक्य, गोविंद भदौरिया, रामपाल भदौरिया, रघुराज शाक्य, गुड्डू वर्मा, राजेश चौहान, अनिल शुक्ला, सतीश चंद्र गोयल आदि पार्टी कार्यकर्ता मौजूद रहे।",politics
"''राम भगवान नहीं थे"" - जीतन राम मांझी","बिहार के पूर्व सीएम जीतन राम मांझी कहते हैं, ''राम भगवान नहीं थे. तुलसीदास-वाल्मीकि ने यह किरदार कहने के लिए बनाया था. ये अच्छी चीजें हैं और हम उसका सम्मान करते हैं। मैं तुलसीदास-वाल्मीकि का सम्मान करता हूं लेकिन राम का नहीं। """,politics
"सत्ता में वापसी के लिए भाजपा ने कसी कमर,बैठक में बनाई आंदोलन की रणनीति","पत्थलगांव(नईदुनिया न्यूज)। भाजपा ने 2023 के विधानसभा चुनावों की तैयारी शुरू कर दी है। कुनकुरी के मंगल भवन में रखी गई जिलास्तरीय बैठक में इसके मद्देनजर कई निर्णय लिए गए। वहीं सरकार की विफलताओं को उजागर करने के लिए भाजयुमो कार्यकर्ताओं ने आगामी समय में विरोध प्रदर्शन के साथ ही कई जगह धरना प्रदर्शन और घेराव की भी योजना तैयार की है। भारतीय जनता युवा मोर्चा जशपुर जिला कार्यसमिति की बैठक कुनकुरी में रखी गई। जिला पंचायत उपाध्यक्ष उपेन्द्र यादव,प्रदेश कार्यकारणी सदस्य नितिन राय,जिला अध्यक्ष युवा मोर्चा अमन शर्मा,जिला उपाध्यक्ष युवा मोर्चा शौर्य प्रताप जूदेव,जिलामहामंत्री युवा मोर्चा अवधेश गुप्ता, जिला उपाध्यक्ष गोपाल कश्यप की उपस्थिति में आयोजित की गई इस बैठक में जिला कार्यकारिणी के सभी सदस्य, मण्डलों के अध्यक्ष और महामंत्री मौजूद रहे। बैठक के दौरान जिला कार्यकारिणी द्वारा आगामी कार्यक्रमों की विस्तृत जानकारी युवा मोर्चा के कार्यकर्ताओं को दी गई। इस दौरान प्रत्येक मण्डल के अध्यक्ष के द्वारा जिला कार्यकारिणी के समक्ष अब तक उनके द्वारा किए गए कार्यों का पूरा लेखा-जोखा प्रस्तुत किया गया।  इस दौरान 2023 में होने वाली विधानसभा चुनाव की तैयारियों को लेकर भी चर्चा की गई। साथ ही हर विधानसभा में होने वाले बड़े तहसील घेराव की रूप-रेखा तैयार की गई। साथ ही जिले में कलेक्टर कार्यालय का घेराव की भी रूप रेखा बनाई गई है। इसके अलावा प्रदेश में होने वाले बड़े धरना प्रदर्शन में बड़ी संख्या में अपनी उपस्थिति दर्ज कराने की योजना भी बनाई गई है।  उक्ताशय की जानकारी देते हुए भाजयुमो के जिला महामंत्री अवधेश गुप्ता ने बताया कि बैठक में 2023 में भाजपा की सरकार बनाने का संकल्प लिया गया। इसके अनुक्रम में बैठक में उपस्थित वरिष्ठ नेताओं द्वारा कार्यकर्ताओं का मार्गदर्शन किया गया। उन्होंने कहा कि प्रदेश की भूपेश बघेल सरकार पूरी तरह निकम्मी साबित हुई है। प्रत्येक शासकीय योजना भ्रष्टाचार और भर्राशाही का शिकार है।  कांग्रेसी केवल केंद्र सरकार की योजनाओं का फीता काटकर वाहवाही लूटने में लगे हैं। उनका कहना है कि छग के लोगों को उनके साथ हुए छल का एहसास हो चुका है। चुनाव निकट आ चुका है। इसे देखते हुए वरिष्ठ नेताओं द्वारा भाजपा के कार्यकर्ताओं को योजनाबद्ध तरीके से और तालमेल बनाकर कार्य करने को निर्देशित किया गया है और भाजयुमो के कार्यकर्ता हर कसौटी पर खरे उतरेंगे।",politics
"'निर्दोष साबित होने के बाद एक बार फिर मंत्री बनूंगा', इस्तीफे से पहले बोले KS Eshwarappa","ईश्वरप्पा ने कहा, ""मेरे खिलाफ आरोप लगाया जा रहा है, क्या मुझे इससे बेदाग बाहर आना चाहिए या नहीं. अगर जांच जारी रहने के दौरान मैं मंत्री बना रहता हूं तो यह महसूस होगा कि मैं उसको प्रभावित कर सकता हूं.  अपने इस्तीफे से पहले कर्नाटक के ग्रामीण विकास और पंचायत राज (RDPR) मंत्री के एस ईश्वरप्पा ने शुक्रवार को अपने समर्थकों और पार्टी कार्यकर्ताओं से कहा कि वह एक साजिश के तहत अपने खिलाफ लगाए गए आरोपों से बेगुनाह साबित होकर निकलेंगे और निश्चित रूप से दोबारा मंत्री बनेंगे. ईश्वरप्पा के खिलाफ पुलिस ने ठेकेदार संतोष पाटिल को आत्महत्या के लिए उकसाने का मामला दर्ज किया है. मंत्री मुख्यमंत्री बसवराज बोम्मई को अपना इस्तीफा सौंपेंगे. ईश्वरप्पा ने कहा, ""मेरे खिलाफ एक आरोप लगाया जा रहा है, क्या मुझे इससे बेदाग बाहर आना चाहिए या नहीं... अगर जांच जारी रहने के दौरान मैं मंत्री बना रहता हूं तो यह महसूस होगा कि मैं उसको प्रभावित कर सकता हूं. इसलिए मैं मंत्री पद से इस्तीफा दे रहा हूं. मैं आपको बता रहा हूं कि मैं निर्दोष निकलूंगा और निश्चित रूप से एक बार फिर मंत्री बनूंगा."" उन्होंने यह बात यहां समर्थकों और पार्टी कार्यकर्ताओं को बताई, जो उनके बेंगलुरू रवाना होने से पहले उनसे इस्तीफा नहीं देने के लिए नारे लगा रहे थे. एक राजनीतिक हंगामे के बीच, ईश्वरप्पा ने बृहस्पतिवार शाम को मंत्री के रूप में अपने इस्तीफे की घोषणा की थी. यह कहते हुए कि पार्टी के कार्यकर्ता दुखी हैं और कुछ तो रो भी रहे थे कि वह इस्तीफा न दें, उन्होंने बाद में पत्रकारों से बात करते हुए उन्होंने कहा, समर्थकों को बहुत स्पष्ट रूप से बताया है कि यह एक ""अग्नि परीक्षा"" है, उनके खिलाफ एक आरोप लगाया गया है, और कुछ लोगों ने उसके विरुद्ध षड्यन्त्र रचा है. उन्होंने कहा, ""जब मैंने उनसे पूछा कि क्या मुझे सभी आरोपों से बेदाग निकलना चाहिए या नहीं, तो उन्होंने कहा, मुझे बेदाग निकलना चाहिए... हमारे कार्यकर्ताओं, वरिष्ठों और कई स्वामीजी के आशीर्वाद से मुझे पूरा भरोसा है कि मैं अपने खिलाफ साजिश से बेदाग बाहर निकलूंगा."" उन्होंने कहा कि वह आज शाम मुख्यमंत्री बोम्मई को इस्तीफा सौंप रहे हैं. Amarnath Yatra 2022: 30 जून से शुरू होगी अमरनाथ यात्रा, इस तरह से रखी जाएगी पैनी नजर, जानिये इस बार क्या है खास",politics
PM नरेंद्र मोदी ने वियतनाम के शीर्ष नेता से की यूक्रेन संकट पर बातचीत,प्रधानमंत्री नरेंद्र मोदी वियतनाम की कम्युनिस्ट पार्टी के महासचिव गुयेन फु ट्रोंग ने यूक्रेन में चल रहे संकट दक्षिण चीन सागर की स्थिति सहित साझा हित के क्षेत्रीय वैश्विक मुद्दों पर टेलीफोन पर बातचीत की. विदेश मंत्रालय से मिली सूचना के मुताबिक दोनों नेताओं में यूक्रेन संकट को जल्द समाप्त करने के तरीकों पर बातचीत की. प्रधानमंत्री नरेंद्र मोदी की गुयेन फु ट्रोंग की बातचीत से चीन पर व्यापक असर पड़ने की संभावना से इंकार नहीं किया जा सकता है.,politics
